il	anteiso_ACL	anteiso_CPI	eps13C_i.C31	eps13C_i.C33	eps13C_n.C31	eps13C_n.C33	iso_ACL	iso_CPI	mindex	i31.n31	i33.n33	nalk_ACL	nalk_CPI	pct_iso	pct_anteiso	Sum_Alk.area
ilIL_1.1	-0.133333333	-0.04	0.030139284	0.300290562	0.03604561	-3.366666667	-0.002109504	0.616405094	-0.005454256	0.533333333	0.311756468	3.72E-15	0.116107657	0.00235689	-0.049771701	-1.058797476
IL1.1.2	-0.066666667	-0.05	0.017917391	0.178267652	0.017625423	-1.6	-0.001758107	0.833759281	0.075081248	-0.066666667	0.020954278	-0.000701937	-0.031219992	0.281752721	0.33675263	-1.227103002
ilIL_1.1.3	-0.146367311	-0.080133901	0.022656821	0.22789389	0.025933857	-2.435804575	-0.002292765	0.294048773	0.110347229	0.161506903	0.234393222	-0.000699332	-0.150868005	0.513128036	0.462718299	-1.737742304
ilIL_1.2	-0.133333333	0.01	0.006408922	0.093072295	0.009481784	-1.1	-0.002812301	0.222890066	-0.00534581	0.233333333	0.181166575	-0.000350908	0.178017206	-0.09029332	0.004711386	-0.682007825
ilIL_1.3	0.023183655	-0.004933049	0.02521727	0.294668832	0.023686108	-2.082097713	-0.002545156	0.609462648	0.052772702	-0.230753452	-0.157756134	-0.000176878	0.19405623	0.502391237	-0.158390787	-0.400753688
ilIL_1.4	-0.066666667	-0.046666667	0.016572676	0.251043868	0.013901409	-1.4	-0.001405965	0.362324498	0.066357797	-0.3	-0.364790623	4.87E-07	-0.099616475	0.295168524	0.310082381	-1.079597389
ilIL_1.4.18	-0.033333333	-0.056666667	0.027423038	0.333993086	0.024775978	-2.6	-0.000703168	1.070505801	0.046927554	-0.266666667	-0.091516652	0.000351152	-0.011587066	0.323827165	0.076848387	-1.308060707
ilIL_10.1	-0.066666667	-0.006666667	-0.006432235	-0.053805338	-0.007811092	0.766666667	-0.000703293	0.003327307	-0.004915894	-0.166666667	-0.16634822	0.000351029	0.059223578	-0.125771426	0.065281591	-0.656484267
ilIL_10.1.1	-0.047262804	-0.047934383	0.020228904	0.263516946	0.018716049	-1.759352105	-0.000986866	0.344418295	0.005761138	-0.195159506	-0.213894514	-5.85E-05	0.083124494	-0.055751312	0.057287643	-0.042686354
ilIL_10.2	-0.033333333	-0.09	0.009122436	0.156695191	0.007122865	-0.7	-0.001757983	0.782141334	0.047833501	-0.266666667	-0.336316241	0.000351029	0.2911143	0.072991156	0.298989789	-0.040780842
ilIL_10.2.2	-0.033333333	-0.073333333	0.025045052	0.351884347	0.020020799	-2.333333333	-0.002109504	0.900146373	0.043814582	-0.533333333	-0.304698439	-0.000350908	0.19050542	0.132261066	0.235059552	-0.431872419
