"X1" "X2" "value" "BH" "X1" "X2" "value"
"1" "anteiso_ACL" "anteiso_ACL" NA NA "anteiso_ACL" "anteiso_ACL" 1
"2" "anteiso_CPI" "anteiso_ACL" 0.641886968476999 0.802358710596249 "anteiso_CPI" "anteiso_ACL" 0.0557410009205341
"3" "eps13C_i.C31" "anteiso_ACL" 0.188351832867597 0.332385587413406 "eps13C_i.C31" "anteiso_ACL" -0.156813055276871
"4" "eps13C_i.C33" "anteiso_ACL" 0.6727665388034 0.81547459248897 "eps13C_i.C33" "anteiso_ACL" -0.0506290532648563
"5" "eps13C_n.C31" "anteiso_ACL" 0.813242305509527 0.912047445431245 "eps13C_n.C31" "anteiso_ACL" -0.028332045301795
"6" "eps13C_n.C33" "anteiso_ACL" 0.756006222944548 0.872314872628325 "eps13C_n.C33" "anteiso_ACL" 0.0372592024505138
"7" "iso_ACL" "anteiso_ACL" 0.000455857514402247 0.00260490008229855 "iso_ACL" "anteiso_ACL" 0.402540743350983
"8" "iso_CPI" "anteiso_ACL" 0.0821483109588357 0.172943812544917 "iso_CPI" "anteiso_ACL" 0.206267729401588
"9" "mindex" "anteiso_ACL" 0.0945037451165132 0.185909006786583 "mindex" "anteiso_ACL" -0.198567032814026
"10" "i31.n31" "anteiso_ACL" 0.38304481601656 0.57456722402484 "i31.n31" "anteiso_ACL" 0.104346714913845
"11" "i33.n33" "anteiso_ACL" 0.279036839736247 0.440584483794074 "i33.n33" "anteiso_ACL" -0.129298642277718
"12" "nalk_ACL" "anteiso_ACL" 6.41999953532313e-06 6.41999953532313e-05 "nalk_ACL" "anteiso_ACL" 0.503867566585541
"13" "nalk_CPI" "anteiso_ACL" 0.0488586815221659 0.114831369668101 "nalk_CPI" "anteiso_ACL" 0.233017608523369
"14" "pct_iso" "anteiso_ACL" 0.741283721186157 0.863631519828533 "pct_iso" "anteiso_ACL" -0.0395865701138973
"15" "pct_anteiso" "anteiso_ACL" 0.00961751084604767 0.0274786024172791 "pct_anteiso" "anteiso_ACL" -0.303236067295074
"16" "Sum_Alk.area" "anteiso_ACL" 0.00770113448234278 0.0231034034470283 "Sum_Alk.area" "anteiso_ACL" 0.311652481555939
"17" "anteiso_ACL" "anteiso_CPI" 0.641886968476999 0.802358710596249 "anteiso_ACL" "anteiso_CPI" 0.0557410009205341
"18" "anteiso_CPI" "anteiso_CPI" NA NA "anteiso_CPI" "anteiso_CPI" 1
"19" "eps13C_i.C31" "anteiso_CPI" 0.195964584349366 0.335939287456056 "eps13C_i.C31" "anteiso_CPI" -0.154182657599449
"20" "eps13C_i.C33" "anteiso_CPI" 0.298824332022147 0.465700257696853 "eps13C_i.C33" "anteiso_CPI" -0.124140597879887
"21" "eps13C_n.C31" "anteiso_CPI" 0.945589974797963 0.982768362276497 "eps13C_n.C31" "anteiso_CPI" 0.00818597804754972
"22" "eps13C_n.C33" "anteiso_CPI" 0.998341629309183 0.998341629309183 "eps13C_n.C33" "anteiso_CPI" -0.000249312375672162
"23" "iso_ACL" "anteiso_CPI" 0.0677593451506875 0.146936542474739 "iso_ACL" "anteiso_CPI" 0.216495543718338
"24" "iso_CPI" "anteiso_CPI" 0.017637474463631 0.0481022030826299 "iso_CPI" "anteiso_CPI" -0.278982639312744
"25" "mindex" "anteiso_CPI" 0.000144179354859109 0.00101773662253488 "mindex" "anteiso_CPI" -0.433196634054184
"26" "i31.n31" "anteiso_CPI" 0.0313704853261398 0.0784262133153496 "i31.n31" "anteiso_CPI" 0.253926515579224
"27" "i33.n33" "anteiso_CPI" 0.114819106330849 0.217528429279885 "i33.n33" "anteiso_CPI" 0.187468349933624
"28" "nalk_ACL" "anteiso_CPI" 0.6161852250195 0.795077709702581 "nalk_ACL" "anteiso_CPI" 0.0600725077092648
"29" "nalk_CPI" "anteiso_CPI" 0.402214061393313 0.588605943502409 "nalk_CPI" "anteiso_CPI" 0.10022596269846
"30" "pct_iso" "anteiso_CPI" 0.419424474693969 0.599177820991384 "pct_iso" "anteiso_CPI" -0.0966234877705574
"31" "pct_anteiso" "anteiso_CPI" 3.78372139686611e-06 4.12769606930849e-05 "pct_anteiso" "anteiso_CPI" -0.514462172985077
"32" "Sum_Alk.area" "anteiso_CPI" 0.00103522957268121 0.00445866364065691 "Sum_Alk.area" "anteiso_CPI" 0.378758281469345
"33" "anteiso_ACL" "eps13C_i.C31" 0.188351832867597 0.332385587413406 "anteiso_ACL" "eps13C_i.C31" -0.156813055276871
"34" "anteiso_CPI" "eps13C_i.C31" 0.195964584349366 0.335939287456056 "anteiso_CPI" "eps13C_i.C31" -0.154182657599449
"35" "eps13C_i.C31" "eps13C_i.C31" NA NA "eps13C_i.C31" "eps13C_i.C31" 1
"36" "eps13C_i.C33" "eps13C_i.C31" 0 0 "eps13C_i.C33" "eps13C_i.C31" 0.928355515003204
"37" "eps13C_n.C31" "eps13C_i.C31" 0 0 "eps13C_n.C31" "eps13C_i.C31" 0.866840302944183
"38" "eps13C_n.C33" "eps13C_i.C31" 0 0 "eps13C_n.C33" "eps13C_i.C31" -0.861282408237457
"39" "iso_ACL" "eps13C_i.C31" 0.0274688157925531 0.0701331467043909 "iso_ACL" "eps13C_i.C31" -0.259902745485306
"40" "iso_CPI" "eps13C_i.C31" 0.00181763644834376 0.00660958708488641 "iso_CPI" "eps13C_i.C31" 0.361341565847397
"41" "mindex" "eps13C_i.C31" 0.0271013307478656 0.0701331467043909 "mindex" "eps13C_i.C31" 0.260501831769943
"42" "i31.n31" "eps13C_i.C31" 0.969615420207472 0.985542710131523 "i31.n31" "eps13C_i.C31" 0.00456896563991904
"43" "i33.n33" "eps13C_i.C31" 0.599189158793722 0.789226481559736 "i33.n33" "eps13C_i.C31" 0.0629793405532837
"44" "nalk_ACL" "eps13C_i.C31" 0.0944086119113217 0.185909006786583 "nalk_ACL" "eps13C_i.C31" -0.198623210191727
"45" "nalk_CPI" "eps13C_i.C31" 0.49929458006092 0.680856245537618 "nalk_CPI" "eps13C_i.C31" -0.0809055268764496
"46" "pct_iso" "eps13C_i.C31" 0.00124807851320741 0.00516446281327203 "pct_iso" "eps13C_i.C31" 0.373078644275665
"47" "pct_anteiso" "eps13C_i.C31" 0.627604882170167 0.796610717798952 "pct_anteiso" "eps13C_i.C31" 0.0581387877464294
"48" "Sum_Alk.area" "eps13C_i.C31" 0.237965508853565 0.387450042825952 "Sum_Alk.area" "eps13C_i.C31" -0.140845075249672
"49" "anteiso_ACL" "eps13C_i.C33" 0.6727665388034 0.81547459248897 "anteiso_ACL" "eps13C_i.C33" -0.0506290532648563
"50" "anteiso_CPI" "eps13C_i.C33" 0.298824332022147 0.465700257696853 "anteiso_CPI" "eps13C_i.C33" -0.124140597879887
"51" "eps13C_i.C31" "eps13C_i.C33" 0 0 "eps13C_i.C31" "eps13C_i.C33" 0.928355515003204
"52" "eps13C_i.C33" "eps13C_i.C33" NA NA "eps13C_i.C33" "eps13C_i.C33" 1
"53" "eps13C_n.C31" "eps13C_i.C33" 0 0 "eps13C_n.C31" "eps13C_i.C33" 0.846935510635376
"54" "eps13C_n.C33" "eps13C_i.C33" 0 0 "eps13C_n.C33" "eps13C_i.C33" -0.861973881721497
"55" "iso_ACL" "eps13C_i.C33" 0.0685703864882117 0.146936542474739 "iso_ACL" "eps13C_i.C33" -0.215874880552292
"56" "iso_CPI" "eps13C_i.C33" 0.00104035484948661 0.00445866364065691 "iso_CPI" "eps13C_i.C33" 0.37860956788063
"57" "mindex" "eps13C_i.C33" 0.0860767139054111 0.17507128251948 "mindex" "eps13C_i.C33" 0.203725591301918
"58" "i31.n31" "eps13C_i.C33" 0.658120470887721 0.814169654706459 "i31.n31" "eps13C_i.C33" 0.0530418306589127
"59" "i33.n33" "eps13C_i.C33" 0.666394930625599 0.81547459248897 "i33.n33" "eps13C_i.C33" -0.0516761802136898
"60" "nalk_ACL" "eps13C_i.C33" 0.238927526409337 0.387450042825952 "nalk_ACL" "eps13C_i.C33" -0.140559643507004
"61" "nalk_CPI" "eps13C_i.C33" 0.926095181037682 0.974837032671244 "nalk_CPI" "eps13C_i.C33" 0.0111261177808046
"62" "pct_iso" "eps13C_i.C33" 0.0019445617649092 0.00686315917026777 "pct_iso" "eps13C_i.C33" 0.359187096357346
"63" "pct_anteiso" "eps13C_i.C33" 0.97732985421376 0.985542710131523 "pct_anteiso" "eps13C_i.C33" -0.00340857938863337
"64" "Sum_Alk.area" "eps13C_i.C33" 0.359323994358342 0.55280614516668 "Sum_Alk.area" "eps13C_i.C33" -0.109621196985245
"65" "anteiso_ACL" "eps13C_n.C31" 0.813242305509527 0.912047445431245 "anteiso_ACL" "eps13C_n.C31" -0.028332045301795
"66" "anteiso_CPI" "eps13C_n.C31" 0.945589974797963 0.982768362276497 "anteiso_CPI" "eps13C_n.C31" 0.00818597804754972
"67" "eps13C_i.C31" "eps13C_n.C31" 0 0 "eps13C_i.C31" "eps13C_n.C31" 0.866840302944183
"68" "eps13C_i.C33" "eps13C_n.C31" 0 0 "eps13C_i.C33" "eps13C_n.C31" 0.846935510635376
"69" "eps13C_n.C31" "eps13C_n.C31" NA NA "eps13C_n.C31" "eps13C_n.C31" 1
"70" "eps13C_n.C33" "eps13C_n.C31" 0 0 "eps13C_n.C33" "eps13C_n.C31" -0.968104541301727
"71" "iso_ACL" "eps13C_n.C31" 0.630650151590837 0.796610717798952 "iso_ACL" "eps13C_n.C31" -0.0576256401836872
"72" "iso_CPI" "eps13C_n.C31" 0.00423937372866257 0.0141312457622086 "iso_CPI" "eps13C_n.C31" 0.333172559738159
"73" "mindex" "eps13C_n.C31" 0.87335365978414 0.940762735998487 "mindex" "eps13C_n.C31" 0.0191183686256409
"74" "i31.n31" "eps13C_n.C31" 8.40104720198909e-05 0.000672083776159127 "i31.n31" "eps13C_n.C31" 0.446632474660873
"75" "i33.n33" "eps13C_n.C31" 0.00293904784164267 0.0100767354570606 "i33.n33" "eps13C_n.C31" 0.345670878887177
"76" "nalk_ACL" "eps13C_n.C31" 0.706451738114863 0.831119691899839 "nalk_ACL" "eps13C_n.C31" -0.045153371989727
"77" "nalk_CPI" "eps13C_n.C31" 0.699117404687472 0.830634540222739 "nalk_CPI" "eps13C_n.C31" -0.0463373847305775
"78" "pct_iso" "eps13C_n.C31" 0.0103495595967258 0.0288824918978394 "pct_iso" "eps13C_n.C31" 0.30040517449379
"79" "pct_anteiso" "eps13C_n.C31" 0.125843905897707 0.228807101632194 "pct_anteiso" "eps13C_n.C31" -0.182069584727287
"80" "Sum_Alk.area" "eps13C_n.C31" 0.425325185321016 0.600459085159082 "Sum_Alk.area" "eps13C_n.C31" -0.0954080671072006
"81" "anteiso_ACL" "eps13C_n.C33" 0.756006222944548 0.872314872628325 "anteiso_ACL" "eps13C_n.C33" 0.0372592024505138
"82" "anteiso_CPI" "eps13C_n.C33" 0.998341629309183 0.998341629309183 "anteiso_CPI" "eps13C_n.C33" -0.000249312375672162
"83" "eps13C_i.C31" "eps13C_n.C33" 0 0 "eps13C_i.C31" "eps13C_n.C33" -0.861282408237457
"84" "eps13C_i.C33" "eps13C_n.C33" 0 0 "eps13C_i.C33" "eps13C_n.C33" -0.861973881721497
"85" "eps13C_n.C31" "eps13C_n.C33" 0 0 "eps13C_n.C31" "eps13C_n.C33" -0.968104541301727
"86" "eps13C_n.C33" "eps13C_n.C33" NA NA "eps13C_n.C33" "eps13C_n.C33" 1
"87" "iso_ACL" "eps13C_n.C33" 0.845617435920339 0.930954975325144 "iso_ACL" "eps13C_n.C33" 0.0233527589589357
"88" "iso_CPI" "eps13C_n.C33" 0.00558957071884647 0.017651275954252 "iso_CPI" "eps13C_n.C33" -0.323392957448959
"89" "mindex" "eps13C_n.C33" 0.900980848423453 0.95679382133464 "mindex" "eps13C_n.C33" 0.0149236926808953
"90" "i31.n31" "eps13C_n.C33" 0.000311124470175006 0.00196499665373688 "i31.n31" "eps13C_n.C33" -0.413041085004807
"91" "i33.n33" "eps13C_n.C33" 0.000945328127617273 0.00436305289669511 "i33.n33" "eps13C_n.C33" -0.381481528282166
"92" "nalk_ACL" "eps13C_n.C33" 0.842077221553087 0.930954975325144 "nalk_ACL" "eps13C_n.C33" 0.0238951779901981
"93" "nalk_CPI" "eps13C_n.C33" 0.684715730692792 0.82165887683135 "nalk_CPI" "eps13C_n.C33" 0.0486753769218922
"94" "pct_iso" "eps13C_n.C33" 0.0395535734514127 0.0949285762833906 "pct_iso" "eps13C_n.C33" -0.243183925747871
"95" "pct_anteiso" "eps13C_n.C33" 0.106540460890801 0.206207343659616 "pct_anteiso" "eps13C_n.C33" 0.191790953278542
"96" "Sum_Alk.area" "eps13C_n.C33" 0.272976825974875 0.436762921559801 "Sum_Alk.area" "eps13C_n.C33" 0.130926638841629
"97" "anteiso_ACL" "iso_ACL" 0.000455857514402247 0.00260490008229855 "anteiso_ACL" "iso_ACL" 0.402540743350983
"98" "anteiso_CPI" "iso_ACL" 0.0677593451506875 0.146936542474739 "anteiso_CPI" "iso_ACL" 0.216495543718338
"99" "eps13C_i.C31" "iso_ACL" 0.0274688157925531 0.0701331467043909 "eps13C_i.C31" "iso_ACL" -0.259902745485306
"100" "eps13C_i.C33" "iso_ACL" 0.0685703864882117 0.146936542474739 "eps13C_i.C33" "iso_ACL" -0.215874880552292
"101" "eps13C_n.C31" "iso_ACL" 0.630650151590837 0.796610717798952 "eps13C_n.C31" "iso_ACL" -0.0576256401836872
"102" "eps13C_n.C33" "iso_ACL" 0.845617435920339 0.930954975325144 "eps13C_n.C33" "iso_ACL" 0.0233527589589357
"103" "iso_ACL" "iso_ACL" NA NA "iso_ACL" "iso_ACL" 1
"104" "iso_CPI" "iso_ACL" 0.397845555896394 0.588605943502409 "iso_CPI" "iso_ACL" -0.101154640316963
"105" "mindex" "iso_ACL" 0.000896796955598633 0.00430462538687344 "mindex" "iso_ACL" -0.383050739765167
"106" "i31.n31" "iso_ACL" 0.00476886598613291 0.0154665923874581 "i31.n31" "iso_ACL" 0.329047590494156
"107" "i33.n33" "iso_ACL" 0.0601906246555308 0.133756943678957 "i33.n33" "iso_ACL" 0.222596898674965
"108" "nalk_ACL" "iso_ACL" 0 0 "nalk_ACL" "iso_ACL" 0.818992674350739
"109" "nalk_CPI" "iso_ACL" 0.554501499099336 0.747642470695733 "nalk_CPI" "iso_ACL" -0.0708050280809402
"110" "pct_iso" "iso_ACL" 0.0837963716588086 0.173371803432018 "pct_iso" "iso_ACL" -0.205189764499664
"111" "pct_anteiso" "iso_ACL" 0.000716786219110643 0.00358393109555322 "pct_anteiso" "iso_ACL" -0.389636874198914
"112" "Sum_Alk.area" "iso_ACL" 0.79554458885326 0.900616515682936 "Sum_Alk.area" "iso_ACL" -0.0310737527906895
"113" "anteiso_ACL" "iso_CPI" 0.0821483109588357 0.172943812544917 "anteiso_ACL" "iso_CPI" 0.206267729401588
"114" "anteiso_CPI" "iso_CPI" 0.017637474463631 0.0481022030826299 "anteiso_CPI" "iso_CPI" -0.278982639312744
"115" "eps13C_i.C31" "iso_CPI" 0.00181763644834376 0.00660958708488641 "eps13C_i.C31" "iso_CPI" 0.361341565847397
"116" "eps13C_i.C33" "iso_CPI" 0.00104035484948661 0.00445866364065691 "eps13C_i.C33" "iso_CPI" 0.37860956788063
"117" "eps13C_n.C31" "iso_CPI" 0.00423937372866257 0.0141312457622086 "eps13C_n.C31" "iso_CPI" 0.333172559738159
"118" "eps13C_n.C33" "iso_CPI" 0.00558957071884647 0.017651275954252 "eps13C_n.C33" "iso_CPI" -0.323392957448959
"119" "iso_ACL" "iso_CPI" 0.397845555896394 0.588605943502409 "iso_ACL" "iso_CPI" -0.101154640316963
"120" "iso_CPI" "iso_CPI" NA NA "iso_CPI" "iso_CPI" 1
"121" "mindex" "iso_CPI" 0.119026584444975 0.219741386667646 "mindex" "iso_CPI" 0.185362949967384
"122" "i31.n31" "iso_CPI" 0.601687625182638 0.789226481559736 "i31.n31" "iso_CPI" -0.0625497847795486
"123" "i33.n33" "iso_CPI" 0.192279544280706 0.334399207444707 "i33.n33" "iso_CPI" -0.155446574091911
"124" "nalk_ACL" "iso_CPI" 0.95000941686728 0.982768362276497 "nalk_ACL" "iso_CPI" -0.00752018298953772
"125" "nalk_CPI" "iso_CPI" 0.148757635491261 0.266431585954498 "nalk_CPI" "iso_CPI" 0.171908155083656
"126" "pct_iso" "iso_CPI" 0.000356748848901134 0.0021404930934068 "pct_iso" "iso_CPI" 0.409318923950195
"127" "pct_anteiso" "iso_CPI" 0.968565035104859 0.985542710131523 "pct_anteiso" "iso_CPI" 0.00472699198871851
"128" "Sum_Alk.area" "iso_CPI" 0.234412475549717 0.387450042825952 "Sum_Alk.area" "iso_CPI" -0.141906231641769
"129" "anteiso_ACL" "mindex" 0.0945037451165132 0.185909006786583 "anteiso_ACL" "mindex" -0.198567032814026
"130" "anteiso_CPI" "mindex" 0.000144179354859109 0.00101773662253488 "anteiso_CPI" "mindex" -0.433196634054184
"131" "eps13C_i.C31" "mindex" 0.0271013307478656 0.0701331467043909 "eps13C_i.C31" "mindex" 0.260501831769943
"132" "eps13C_i.C33" "mindex" 0.0860767139054111 0.17507128251948 "eps13C_i.C33" "mindex" 0.203725591301918
"133" "eps13C_n.C31" "mindex" 0.87335365978414 0.940762735998487 "eps13C_n.C31" "mindex" 0.0191183686256409
"134" "eps13C_n.C33" "mindex" 0.900980848423453 0.95679382133464 "eps13C_n.C33" "mindex" 0.0149236926808953
"135" "iso_ACL" "mindex" 0.000896796955598633 0.00430462538687344 "iso_ACL" "mindex" -0.383050739765167
"136" "iso_CPI" "mindex" 0.119026584444975 0.219741386667646 "iso_CPI" "mindex" 0.185362949967384
"137" "mindex" "mindex" NA NA "mindex" "mindex" 1
"138" "i31.n31" "mindex" 5.78162816866623e-05 0.00049556812874282 "i31.n31" "mindex" -0.455610334873199
"139" "i33.n33" "mindex" 0.000483815320849512 0.00263899265917916 "i33.n33" "mindex" -0.400873124599457
"140" "nalk_ACL" "mindex" 0.0344074132438639 0.0842630528421156 "nalk_ACL" "mindex" -0.249692991375923
"141" "nalk_CPI" "mindex" 0.000155928947151995 0.00103952631434664 "nalk_CPI" "mindex" -0.431200414896011
"142" "pct_iso" "mindex" 2.48824960635829e-10 2.98589952762995e-09 "pct_iso" "mindex" 0.661665976047516
"143" "pct_anteiso" "mindex" 0 0 "pct_anteiso" "mindex" 0.856692612171173
"144" "Sum_Alk.area" "mindex" 0.00729680914472008 0.0224517204452926 "Sum_Alk.area" "mindex" -0.313660234212875
"145" "anteiso_ACL" "i31.n31" 0.38304481601656 0.57456722402484 "anteiso_ACL" "i31.n31" 0.104346714913845
"146" "anteiso_CPI" "i31.n31" 0.0313704853261398 0.0784262133153496 "anteiso_CPI" "i31.n31" 0.253926515579224
"147" "eps13C_i.C31" "i31.n31" 0.969615420207472 0.985542710131523 "eps13C_i.C31" "i31.n31" 0.00456896563991904
"148" "eps13C_i.C33" "i31.n31" 0.658120470887721 0.814169654706459 "eps13C_i.C33" "i31.n31" 0.0530418306589127
"149" "eps13C_n.C31" "i31.n31" 8.40104720198909e-05 0.000672083776159127 "eps13C_n.C31" "i31.n31" 0.446632474660873
"150" "eps13C_n.C33" "i31.n31" 0.000311124470175006 0.00196499665373688 "eps13C_n.C33" "i31.n31" -0.413041085004807
"151" "iso_ACL" "i31.n31" 0.00476886598613291 0.0154665923874581 "iso_ACL" "i31.n31" 0.329047590494156
"152" "iso_CPI" "i31.n31" 0.601687625182638 0.789226481559736 "iso_CPI" "i31.n31" -0.0625497847795486
"153" "mindex" "i31.n31" 5.78162816866623e-05 0.00049556812874282 "mindex" "i31.n31" -0.455610334873199
"154" "i31.n31" "i31.n31" NA NA "i31.n31" "i31.n31" 1
"155" "i33.n33" "i31.n31" 1.26343380202343e-12 1.6845784026979e-11 "i33.n33" "i31.n31" 0.717982649803162
"156" "nalk_ACL" "i31.n31" 0.0497602601895106 0.114831369668101 "nalk_ACL" "i31.n31" 0.232119888067245
"157" "nalk_CPI" "i31.n31" 0.878045220265254 0.940762735998487 "nalk_CPI" "i31.n31" -0.0184045657515526
"158" "pct_iso" "i31.n31" 0.409763228434652 0.592428764001907 "pct_iso" "i31.n31" -0.0986349582672119
"159" "pct_anteiso" "i31.n31" 1.63579681777826e-05 0.000150996629333378 "pct_anteiso" "i31.n31" -0.484213829040527
"160" "Sum_Alk.area" "i31.n31" 0.497495724859523 0.680856245537618 "Sum_Alk.area" "i31.n31" -0.0812439322471619
"161" "anteiso_ACL" "i33.n33" 0.279036839736247 0.440584483794074 "anteiso_ACL" "i33.n33" -0.129298642277718
"162" "anteiso_CPI" "i33.n33" 0.114819106330849 0.217528429279885 "anteiso_CPI" "i33.n33" 0.187468349933624
"163" "eps13C_i.C31" "i33.n33" 0.599189158793722 0.789226481559736 "eps13C_i.C31" "i33.n33" 0.0629793405532837
"164" "eps13C_i.C33" "i33.n33" 0.666394930625599 0.81547459248897 "eps13C_i.C33" "i33.n33" -0.0516761802136898
"165" "eps13C_n.C31" "i33.n33" 0.00293904784164267 0.0100767354570606 "eps13C_n.C31" "i33.n33" 0.345670878887177
"166" "eps13C_n.C33" "i33.n33" 0.000945328127617273 0.00436305289669511 "eps13C_n.C33" "i33.n33" -0.381481528282166
"167" "iso_ACL" "i33.n33" 0.0601906246555308 0.133756943678957 "iso_ACL" "i33.n33" 0.222596898674965
"168" "iso_CPI" "i33.n33" 0.192279544280706 0.334399207444707 "iso_CPI" "i33.n33" -0.155446574091911
"169" "mindex" "i33.n33" 0.000483815320849512 0.00263899265917916 "mindex" "i33.n33" -0.400873124599457
"170" "i31.n31" "i33.n33" 1.26343380202343e-12 1.6845784026979e-11 "i31.n31" "i33.n33" 0.717982649803162
"171" "i33.n33" "i33.n33" NA NA "i33.n33" "i33.n33" 1
