il	pct_iso-alkanes	pct_anteiso-alkanes	Methyl_Index	n-alkane_CPI	n-alkane_ACL	anteiso_CPI	anteiso_ACL	iso_CPI	iso_ACL	eps13C_i.C31	eps13C_n.C31	eps13C_i.C33	eps13C_n.C33	n31-i31	n33-i33	Sum_Alk/area
cvM82	7.27	6.83	0.14	12.4	31.3	0.26	32.1	10.8	31.8	-14.5	-16.0	-14.2	-15.5	1.5	1.2	9.0
cvM82	5.89	6.33	0.12	12.1	31.4	0.27	32.2	7.7	31.9	-20.0	-22.6	-20.8	-22.3	2.6	1.6	7.1
cvM82	6.20	5.88	0.12	10.9	31.3	0.16	32.1	10.3	32.0	-18.4	-20.0	-18.5	-19.3	1.7	0.8	9.8
IL_1.1	6.13	4.94	0.11	15.0	31.4	0.27	32.0	13.4	31.8	-17.1	-18.8	-17.0	-18.4	1.7	1.5	4.2
IL_1.1	5.60	5.80	0.11	12.6	31.3	0.12	32.1	9.9	31.7	-18.8	-20.1	-18.6	-19.5	1.2	0.9	1.9
IL_1.1	7.78	7.42	0.15	12.6	31.3	0.18	31.9	18.6	31.6	-19.6	-21.3	-20.1	-21.0	1.8	0.9	4.8
IL_1.1.2	10.51	11.29	0.22	12.0	31.2	0.17	32.0	16.8	31.7	-18.0	-19.7	-17.9	-18.9	1.7	1.0	2.5
IL_1.1.2	8.94	9.58	0.19	11.4	31.3	0.21	32.1	13.4	31.8	-16.0	-17.5	-15.8	-17.2	1.6	1.4	2.2
IL_1.1.2	7.35	7.34	0.15	10.8	31.3	0.16	32.1	16.1	31.7	-18.9	-20.3	-19.1	-19.6	1.4	0.5	4.2
IL_1.1.3	10.78	10.48	0.21	10.1	31.3	0.15	32.0	9.5	31.7	-16.0	-17.0	-16.1	-16.7	1.0	0.5	0.5
IL_1.2	6.05	6.58	0.13	14.6	31.3	0.24	32.0	11.0	31.7	-19.6	-20.9	-20.8	-21.6	1.3	0.8	3.1
IL_1.2	5.08	5.08	0.10	15.2	31.4	0.31	32.1	8.3	31.7	NA	NA	NA	NA	NA	NA	5.4
IL_1.2	6.30	7.69	0.14	13.1	31.2	0.17	31.9	14.0	31.5	-17.2	-19.1	-17.0	-18.7	1.8	1.7	7.1
IL_1.3	11.13	6.12	0.17	14.1	31.3	0.31	32.1	13.7	31.7	NA	NA	NA	NA	NA	NA	8.0
IL_1.3	12.10	4.59	0.17	14.8	31.3	0.14	32.2	16.0	31.6	-19.8	-21.7	-19.6	-21.2	1.9	1.5	7.4
