trait1	trait2	r.value	ord.trait1	ord.trait2
Sum_Alk.area	anteiso_ACL	0.03402843	10.Sum_Alk.area	05.anteiso_ACL
n33.i33	anteiso_ACL	0.024150431	16.n33.i33	05.anteiso_ACL
anteiso_ACL	anteiso_ACL	1	05.anteiso_ACL	05.anteiso_ACL
Methyl_Index	anteiso_ACL	-0.3194305	04.Methyl_Index	05.anteiso_ACL
n31.i31	anteiso_ACL	-0.017162258	15.n31.i31	05.anteiso_ACL
eps13C_n.C33	anteiso_ACL	0.000454987	12.eps13C_n.C33	05.anteiso_ACL
eps13C_i.C31	anteiso_ACL	-0.025899371	13.eps13C_i.C31	05.anteiso_ACL
pct_anteiso.alkanes	anteiso_ACL	-0.359951109	03.pct_anteiso.alkanes	05.anteiso_ACL
iso_ACL	anteiso_ACL	0.451359034	07.iso_ACL	05.anteiso_ACL
eps13C_n.C31	anteiso_ACL	-0.000110067	11.eps13C_n.C31	05.anteiso_ACL
iso_CPI	anteiso_ACL	-0.145734355	08.iso_CPI	05.anteiso_ACL
eps13C_i.C33	anteiso_ACL	-0.015481765	14.eps13C_i.C33	05.anteiso_ACL
pct_iso.alkanes	anteiso_ACL	-0.182718799	02.pct_iso.alkanes	05.anteiso_ACL
anteiso_CPI	anteiso_ACL	0.088809721	09.anteiso_CPI	05.anteiso_ACL
n.alkane_ACL	anteiso_ACL	0.462109327	06.n.alkane_ACL	05.anteiso_ACL
n.alkane_CPI	anteiso_ACL	0.208718017	01.n.alkane_CPI	05.anteiso_ACL
eps13C_i.C31	anteiso_CPI	-0.051476493	13.eps13C_i.C31	09.anteiso_CPI
n.alkane_CPI	anteiso_CPI	0.186957002	01.n.alkane_CPI	09.anteiso_CPI
Sum_Alk.area	anteiso_CPI	0.344970673	10.Sum_Alk.area	09.anteiso_CPI
eps13C_n.C33	anteiso_CPI	-0.091551848	12.eps13C_n.C33	09.anteiso_CPI
pct_anteiso.alkanes	anteiso_CPI	-0.480287373	03.pct_anteiso.alkanes	09.anteiso_CPI
pct_iso.alkanes	anteiso_CPI	-0.251887411	02.pct_iso.alkanes	09.anteiso_CPI
iso_CPI	anteiso_CPI	-0.322074175	08.iso_CPI	09.anteiso_CPI
iso_ACL	anteiso_CPI	0.382815838	07.iso_ACL	09.anteiso_CPI
n.alkane_ACL	anteiso_CPI	0.197060078	06.n.alkane_ACL	09.anteiso_CPI
n33.i33	anteiso_CPI	0.074866958	16.n33.i33	09.anteiso_CPI
eps13C_n.C31	anteiso_CPI	-0.097128019	11.eps13C_n.C31	09.anteiso_CPI
anteiso_CPI	anteiso_CPI	1	09.anteiso_CPI	09.anteiso_CPI
n31.i31	anteiso_CPI	0.149520367	15.n31.i31	09.anteiso_CPI
anteiso_ACL	anteiso_CPI	0.088809721	05.anteiso_ACL	09.anteiso_CPI
eps13C_i.C33	anteiso_CPI	-0.071017645	14.eps13C_i.C33	09.anteiso_CPI
Methyl_Index	anteiso_CPI	-0.456132501	04.Methyl_Index	09.anteiso_CPI
n.alkane_CPI	eps13C_i.C31	-0.091406576	01.n.alkane_CPI	13.eps13C_i.C31
iso_CPI	eps13C_i.C31	0.061639167	08.iso_CPI	13.eps13C_i.C31
n31.i31	eps13C_i.C31	-0.221012846	15.n31.i31	13.eps13C_i.C31
eps13C_n.C31	eps13C_i.C31	0.935528338	11.eps13C_n.C31	13.eps13C_i.C31
pct_anteiso.alkanes	eps13C_i.C31	0.061137505	03.pct_anteiso.alkanes	13.eps13C_i.C31
anteiso_CPI	eps13C_i.C31	-0.051476493	09.anteiso_CPI	13.eps13C_i.C31
Methyl_Index	eps13C_i.C31	0.075681612	04.Methyl_Index	13.eps13C_i.C31
pct_iso.alkanes	eps13C_i.C31	0.139393166	02.pct_iso.alkanes	13.eps13C_i.C31
eps13C_n.C33	eps13C_i.C31	0.936269224	12.eps13C_n.C33	13.eps13C_i.C31
iso_ACL	eps13C_i.C31	-0.019077295	07.iso_ACL	13.eps13C_i.C31
eps13C_i.C33	eps13C_i.C31	0.939314008	14.eps13C_i.C33	13.eps13C_i.C31
n.alkane_ACL	eps13C_i.C31	0.05345311	06.n.alkane_ACL	13.eps13C_i.C31
anteiso_ACL	eps13C_i.C31	-0.025899371	05.anteiso_ACL	13.eps13C_i.C31
n33.i33	eps13C_i.C31	-0.117677666	16.n33.i33	13.eps13C_i.C31
Sum_Alk.area	eps13C_i.C31	-0.036902387	10.Sum_Alk.area	13.eps13C_i.C31
eps13C_i.C31	eps13C_i.C31	1	13.eps13C_i.C31	13.eps13C_i.C31
pct_iso.alkanes	eps13C_i.C33	0.133656219	02.pct_iso.alkanes	14.eps13C_i.C33
Sum_Alk.area	eps13C_i.C33	-0.031839453	10.Sum_Alk.area	14.eps13C_i.C33
n.alkane_CPI	eps13C_i.C33	-0.051288489	01.n.alkane_CPI	14.eps13C_i.C33
n33.i33	eps13C_i.C33	0.027834728	16.n33.i33	14.eps13C_i.C33
pct_anteiso.alkanes	eps13C_i.C33	0.068989396	03.pct_anteiso.alkanes	14.eps13C_i.C33
eps13C_n.C31	eps13C_i.C33	0.898551166	11.eps13C_n.C31	14.eps13C_i.C33
iso_ACL	eps13C_i.C33	-0.027010623	07.iso_ACL	14.eps13C_i.C33
n31.i31	eps13C_i.C33	-0.270352334	15.n31.i31	14.eps13C_i.C33
eps13C_n.C33	eps13C_i.C33	0.916774035	12.eps13C_n.C33	14.eps13C_i.C33
Methyl_Index	eps13C_i.C33	0.073181957	04.Methyl_Index	14.eps13C_i.C33
anteiso_ACL	eps13C_i.C33	-0.015481765	05.anteiso_ACL	14.eps13C_i.C33
eps13C_i.C33	eps13C_i.C33	1	14.eps13C_i.C33	14.eps13C_i.C33
iso_CPI	eps13C_i.C33	0.045054976	08.iso_CPI	14.eps13C_i.C33
n.alkane_ACL	eps13C_i.C33	0.054791879	06.n.alkane_ACL	14.eps13C_i.C33
anteiso_CPI	eps13C_i.C33	-0.071017645	09.anteiso_CPI	14.eps13C_i.C33
eps13C_i.C31	eps13C_i.C33	0.939314008	13.eps13C_i.C31	14.eps13C_i.C33
anteiso_CPI	eps13C_n.C31	-0.097128019	09.anteiso_CPI	11.eps13C_n.C31
eps13C_n.C33	eps13C_n.C31	0.977733016	12.eps13C_n.C33	11.eps13C_n.C31
iso_CPI	eps13C_n.C31	0.041650463	08.iso_CPI	11.eps13C_n.C31
n31.i31	eps13C_n.C31	-0.510467231	15.n31.i31	11.eps13C_n.C31
iso_ACL	eps13C_n.C31	-0.024210308	07.iso_ACL	11.eps13C_n.C31
pct_anteiso.alkanes	eps13C_n.C31	0.068219729	03.pct_anteiso.alkanes	11.eps13C_n.C31
eps13C_i.C31	eps13C_n.C31	0.935528338	13.eps13C_i.C31	11.eps13C_n.C31
Methyl_Index	eps13C_n.C31	0.074635647	04.Methyl_Index	11.eps13C_n.C31
n33.i33	eps13C_n.C31	-0.297514647	16.n33.i33	11.eps13C_n.C31
eps13C_i.C33	eps13C_n.C31	0.898551166	14.eps13C_i.C33	11.eps13C_n.C31
n.alkane_ACL	eps13C_n.C31	0.050020639	06.n.alkane_ACL	11.eps13C_n.C31
eps13C_n.C31	eps13C_n.C31	1	11.eps13C_n.C31	11.eps13C_n.C31
n.alkane_CPI	eps13C_n.C31	-0.090531237	01.n.alkane_CPI	11.eps13C_n.C31
Sum_Alk.area	eps13C_n.C31	-0.067064285	10.Sum_Alk.area	11.eps13C_n.C31
pct_iso.alkanes	eps13C_n.C31	0.125207111	02.pct_iso.alkanes	11.eps13C_n.C31
anteiso_ACL	eps13C_n.C31	-0.000110067	05.anteiso_ACL	11.eps13C_n.C31
eps13C_i.C31	eps13C_n.C33	0.936269224	13.eps13C_i.C31	12.eps13C_n.C33
n31.i31	eps13C_n.C33	-0.472236246	15.n31.i31	12.eps13C_n.C33
Methyl_Index	eps13C_n.C33	0.05365143	04.Methyl_Index	12.eps13C_n.C33
n33.i33	eps13C_n.C33	-0.322779298	16.n33.i33	12.eps13C_n.C33
iso_CPI	eps13C_n.C33	0.019558024	08.iso_CPI	12.eps13C_n.C33
eps13C_i.C33	eps13C_n.C33	0.916774035	14.eps13C_i.C33	12.eps13C_n.C33
anteiso_CPI	eps13C_n.C33	-0.091551848	09.anteiso_CPI	12.eps13C_n.C33
pct_anteiso.alkanes	eps13C_n.C33	0.046790294	03.pct_anteiso.alkanes	12.eps13C_n.C33
eps13C_n.C33	eps13C_n.C33	1	12.eps13C_n.C33	12.eps13C_n.C33
iso_ACL	eps13C_n.C33	-0.006719773	07.iso_ACL	12.eps13C_n.C33
eps13C_n.C31	eps13C_n.C33	0.977733016	11.eps13C_n.C31	12.eps13C_n.C33
anteiso_ACL	eps13C_n.C33	0.000454987	05.anteiso_ACL	12.eps13C_n.C33
n.alkane_CPI	eps13C_n.C33	-0.074104398	01.n.alkane_CPI	12.eps13C_n.C33
Sum_Alk.area	eps13C_n.C33	-0.069154784	10.Sum_Alk.area	12.eps13C_n.C33
