trait1	trait2	ord.trait1	ord.trait2	r.value
n31.i31	anteiso_ACL	11.n31.i31	05.anteiso_ACL	-0.100358799
pct_iso	anteiso_ACL	10.pct_iso	05.anteiso_ACL	-0.03958657
pct_anteiso	anteiso_ACL	15.pct_anteiso	05.anteiso_ACL	-0.303236067
mindex	anteiso_ACL	14.mindex	05.anteiso_ACL	-0.198567033
D_nC31	anteiso_ACL	01.D_nC31	05.anteiso_ACL	-0.022345942
D_iC33	anteiso_ACL	04.D_iC33	05.anteiso_ACL	-0.035704575
iso_CPI	anteiso_ACL	09.iso_CPI	05.anteiso_ACL	0.206267729
n33.i33	anteiso_ACL	12.n33.i33	05.anteiso_ACL	-0.129087627
anteiso_ACL	anteiso_ACL	05.anteiso_ACL	05.anteiso_ACL	1
iso_ACL	anteiso_ACL	06.iso_ACL	05.anteiso_ACL	0.402540743
nalk_CPI	anteiso_ACL	08.nalk_CPI	05.anteiso_ACL	0.233017609
D_nC33	anteiso_ACL	02.D_nC33	05.anteiso_ACL	-0.044214267
anteiso_CPI	anteiso_ACL	13.anteiso_CPI	05.anteiso_ACL	0.055741001
D_iC31	anteiso_ACL	03.D_iC31	05.anteiso_ACL	-0.146341458
nalk_ACL	anteiso_ACL	07.nalk_ACL	05.anteiso_ACL	0.503867567
D_nC33	anteiso_CPI	02.D_nC33	13.anteiso_CPI	-0.006610427
anteiso_ACL	anteiso_CPI	05.anteiso_ACL	13.anteiso_CPI	0.055741001
D_iC33	anteiso_CPI	04.D_iC33	13.anteiso_CPI	-0.122741424
iso_CPI	anteiso_CPI	09.iso_CPI	13.anteiso_CPI	-0.278982639
D_nC31	anteiso_CPI	01.D_nC31	13.anteiso_CPI	0.01034103
pct_anteiso	anteiso_CPI	15.pct_anteiso	13.anteiso_CPI	-0.514462173
iso_ACL	anteiso_CPI	06.iso_ACL	13.anteiso_CPI	0.216495544
mindex	anteiso_CPI	14.mindex	13.anteiso_CPI	-0.433196634
anteiso_CPI	anteiso_CPI	13.anteiso_CPI	13.anteiso_CPI	1
pct_iso	anteiso_CPI	10.pct_iso	13.anteiso_CPI	-0.096623488
n31.i31	anteiso_CPI	11.n31.i31	13.anteiso_CPI	-0.241441458
nalk_CPI	anteiso_CPI	08.nalk_CPI	13.anteiso_CPI	0.100225963
nalk_ACL	anteiso_CPI	07.nalk_ACL	13.anteiso_CPI	0.060072508
D_iC31	anteiso_CPI	03.D_iC31	13.anteiso_CPI	-0.150001213
n33.i33	anteiso_CPI	12.n33.i33	13.anteiso_CPI	0.163747638
anteiso_CPI	D_iC31	13.anteiso_CPI	03.D_iC31	-0.150001213
nalk_CPI	D_iC31	08.nalk_CPI	03.D_iC31	-0.075985596
pct_anteiso	D_iC31	15.pct_anteiso	03.D_iC31	0.058556821
D_iC33	D_iC31	04.D_iC33	03.D_iC31	0.926297486
mindex	D_iC31	14.mindex	03.D_iC31	0.262431353
nalk_ACL	D_iC31	07.nalk_ACL	03.D_iC31	-0.194185331
iso_ACL	D_iC31	06.iso_ACL	03.D_iC31	-0.253063619
anteiso_ACL	D_iC31	05.anteiso_ACL	03.D_iC31	-0.146341458
D_nC31	D_iC31	01.D_nC31	03.D_iC31	0.86423564
iso_CPI	D_iC31	09.iso_CPI	03.D_iC31	0.360151768
D_iC31	D_iC31	03.D_iC31	03.D_iC31	1
pct_iso	D_iC31	10.pct_iso	03.D_iC31	0.373110801
n33.i33	D_iC31	12.n33.i33	03.D_iC31	0.073334455
D_nC33	D_iC31	02.D_nC33	03.D_iC31	0.860590756
n31.i31	D_iC31	11.n31.i31	03.D_iC31	-0.019240053
nalk_ACL	D_iC33	07.nalk_ACL	04.D_iC33	-0.142576858
mindex	D_iC33	14.mindex	04.D_iC33	0.201394081
D_nC33	D_iC33	02.D_nC33	04.D_iC33	0.866990387
iso_CPI	D_iC33	09.iso_CPI	04.D_iC33	0.389317632
pct_iso	D_iC33	10.pct_iso	04.D_iC33	0.353238136
D_iC33	D_iC33	04.D_iC33	04.D_iC33	1
anteiso_CPI	D_iC33	13.anteiso_CPI	04.D_iC33	-0.122741424
D_iC31	D_iC33	03.D_iC31	04.D_iC33	0.926297486
D_nC31	D_iC33	01.D_nC31	04.D_iC33	0.851405263
anteiso_ACL	D_iC33	05.anteiso_ACL	04.D_iC33	-0.035704575
pct_anteiso	D_iC33	15.pct_anteiso	04.D_iC33	-0.003826613
n31.i31	D_iC33	11.n31.i31	04.D_iC33	-0.083266318
nalk_CPI	D_iC33	08.nalk_CPI	04.D_iC33	0.014341759
n33.i33	D_iC33	12.n33.i33	04.D_iC33	-0.038476072
iso_ACL	D_iC33	06.iso_ACL	04.D_iC33	-0.215392128
anteiso_ACL	D_nC31	05.anteiso_ACL	01.D_nC31	-0.022345942
mindex	D_nC31	14.mindex	01.D_nC31	0.016368797
nalk_CPI	D_nC31	08.nalk_CPI	01.D_nC31	-0.041739017
anteiso_CPI	D_nC31	13.anteiso_CPI	01.D_nC31	0.01034103
D_iC31	D_nC31	03.D_iC31	01.D_nC31	0.86423564
iso_CPI	D_nC31	09.iso_CPI	01.D_nC31	0.329538882
nalk_ACL	D_nC31	07.nalk_ACL	01.D_nC31	-0.033969924
D_nC31	D_nC31	01.D_nC31	01.D_nC31	1
D_nC33	D_nC31	02.D_nC33	01.D_nC31	0.967037022
n33.i33	D_nC31	12.n33.i33	01.D_nC31	0.35128507
pct_iso	D_nC31	10.pct_iso	01.D_nC31	0.298122078
pct_anteiso	D_nC31	15.pct_anteiso	01.D_nC31	-0.182873502
iso_ACL	D_nC31	06.iso_ACL	01.D_nC31	-0.050947439
n31.i31	D_nC31	11.n31.i31	01.D_nC31	-0.46846956
D_iC33	D_nC31	04.D_iC33	01.D_nC31	0.851405263
D_iC31	D_nC33	03.D_iC31	02.D_nC33	0.860590756
pct_iso	D_nC33	10.pct_iso	02.D_nC33	0.242478818
anteiso_ACL	D_nC33	05.anteiso_ACL	02.D_nC33	-0.044214267
D_iC33	D_nC33	04.D_iC33	02.D_nC33	0.866990387
nalk_ACL	D_nC33	07.nalk_ACL	02.D_nC33	-0.034456827
nalk_CPI	D_nC33	08.nalk_CPI	02.D_nC33	-0.039523404
mindex	D_nC33	14.mindex	02.D_nC33	-0.011795164
anteiso_CPI	D_nC33	13.anteiso_CPI	02.D_nC33	-0.006610427
n31.i31	D_nC33	11.n31.i31	02.D_nC33	-0.422631443
n33.i33	D_nC33	12.n33.i33	02.D_nC33	0.389454812
iso_ACL	D_nC33	06.iso_ACL	02.D_nC33	-0.032637306
pct_anteiso	D_nC33	15.pct_anteiso	02.D_nC33	-0.186747283
iso_CPI	D_nC33	09.iso_CPI	02.D_nC33	0.329710096
D_nC31	D_nC33	01.D_nC31	02.D_nC33	0.967037022
D_nC33	D_nC33	02.D_nC33	02.D_nC33	1
pct_iso	iso_ACL	10.pct_iso	06.iso_ACL	-0.205189764
n33.i33	iso_ACL	12.n33.i33	06.iso_ACL	0.220530808
D_iC33	iso_ACL	04.D_iC33	06.iso_ACL	-0.215392128
iso_ACL	iso_ACL	06.iso_ACL	06.iso_ACL	1
nalk_CPI	iso_ACL	08.nalk_CPI	06.iso_ACL	-0.070805028
D_iC31	iso_ACL	03.D_iC31	06.iso_ACL	-0.253063619
D_nC31	iso_ACL	01.D_nC31	06.iso_ACL	-0.050947439
anteiso_CPI	iso_ACL	13.anteiso_CPI	06.iso_ACL	0.216495544
D_nC33	iso_ACL	02.D_nC33	06.iso_ACL	-0.032637306
n31.i31	iso_ACL	11.n31.i31	06.iso_ACL	-0.311535478
mindex	iso_ACL	14.mindex	06.iso_ACL	-0.38305074
pct_anteiso	iso_ACL	15.pct_anteiso	06.iso_ACL	-0.389636874
nalk_ACL	iso_ACL	07.nalk_ACL	06.iso_ACL	0.818992674
anteiso_ACL	iso_ACL	05.anteiso_ACL	06.iso_ACL	0.402540743
iso_CPI	iso_ACL	09.iso_CPI	06.iso_ACL	-0.10115464
pct_iso	iso_CPI	10.pct_iso	09.iso_CPI	0.409318924
n31.i31	iso_CPI	11.n31.i31	09.iso_CPI	0.070074975
mindex	iso_CPI	14.mindex	09.iso_CPI	0.18536295
iso_CPI	iso_CPI	09.iso_CPI	09.iso_CPI	1
nalk_CPI	iso_CPI	08.nalk_CPI	09.iso_CPI	0.171908155
pct_anteiso	iso_CPI	15.pct_anteiso	09.iso_CPI	0.004726992
D_iC33	iso_CPI	04.D_iC33	09.iso_CPI	0.389317632
n33.i33	iso_CPI	12.n33.i33	09.iso_CPI	-0.142793983
D_nC33	iso_CPI	02.D_nC33	09.iso_CPI	0.329710096
D_iC31	iso_CPI	03.D_iC31	09.iso_CPI	0.360151768
iso_ACL	iso_CPI	06.iso_ACL	09.iso_CPI	-0.10115464
anteiso_ACL	iso_CPI	05.anteiso_ACL	09.iso_CPI	0.206267729
anteiso_CPI	iso_CPI	13.anteiso_CPI	09.iso_CPI	-0.278982639
D_nC31	iso_CPI	01.D_nC31	09.iso_CPI	0.329538882
nalk_ACL	iso_CPI	07.nalk_ACL	09.iso_CPI	-0.007520183
D_nC31	mindex	01.D_nC31	14.mindex	0.016368797
D_iC33	mindex	04.D_iC33	14.mindex	0.201394081
pct_anteiso	mindex	15.pct_anteiso	14.mindex	0.856692612
D_nC33	mindex	02.D_nC33	14.mindex	-0.011795164
anteiso_CPI	mindex	13.anteiso_CPI	14.mindex	-0.433196634
n33.i33	mindex	12.n33.i33	14.mindex	-0.395457476
anteiso_ACL	mindex	05.anteiso_ACL	14.mindex	-0.198567033
iso_ACL	mindex	06.iso_ACL	14.mindex	-0.38305074
mindex	mindex	14.mindex	14.mindex	1
nalk_ACL	mindex	07.nalk_ACL	14.mindex	-0.249692991
D_iC31	mindex	03.D_iC31	14.mindex	0.262431353
iso_CPI	mindex	09.iso_CPI	14.mindex	0.18536295
n31.i31	mindex	11.n31.i31	14.mindex	0.428460002
nalk_CPI	mindex	08.nalk_CPI	14.mindex	-0.431200415
pct_iso	mindex	10.pct_iso	14.mindex	0.661665976
D_nC31	n31.i31	01.D_nC31	11.n31.i31	-0.46846956
D_iC31	n31.i31	03.D_iC31	11.n31.i31	-0.019240053
n31.i31	n31.i31	11.n31.i31	11.n31.i31	1
D_nC33	n31.i31	02.D_nC33	11.n31.i31	-0.422631443
anteiso_CPI	n31.i31	13.anteiso_CPI	11.n31.i31	-0.241441458
pct_anteiso	n31.i31	15.pct_anteiso	11.n31.i31	0.465107381
nalk_CPI	n31.i31	08.nalk_CPI	11.n31.i31	0.009716549
anteiso_ACL	n31.i31	05.anteiso_ACL	11.n31.i31	-0.100358799
D_iC33	n31.i31	04.D_iC33	11.n31.i31	-0.083266318
nalk_ACL	n31.i31	07.nalk_ACL	11.n31.i31	-0.221708432
iso_ACL	n31.i31	06.iso_ACL	11.n31.i31	-0.311535478
n33.i33	n31.i31	12.n33.i33	11.n31.i31	-0.696535647
mindex	n31.i31	14.mindex	11.n31.i31	0.428460002
iso_CPI	n31.i31	09.iso_CPI	11.n31.i31	0.070074975
pct_iso	n31.i31	10.pct_iso	11.n31.i31	0.083057187
D_nC33	n33.i33	02.D_nC33	12.n33.i33	0.389454812
D_iC33	n33.i33	04.D_iC33	12.n33.i33	-0.038476072
anteiso_CPI	n33.i33	13.anteiso_CPI	12.n33.i33	0.163747638
pct_anteiso	n33.i33	15.pct_anteiso	12.n33.i33	-0.364196181
D_nC31	n33.i33	01.D_nC31	12.n33.i33	0.35128507
n31.i31	n33.i33	11.n31.i31	12.n33.i33	-0.696535647
iso_CPI	n33.i33	09.iso_CPI	12.n33.i33	-0.142793983
anteiso_ACL	n33.i33	05.anteiso_ACL	12.n33.i33	-0.129087627
pct_iso	n33.i33	10.pct_iso	12.n33.i33	-0.183424577
mindex	n33.i33	14.mindex	12.n33.i33	-0.395457476
n33.i33	n33.i33	12.n33.i33	12.n33.i33	1
iso_ACL	n33.i33	06.iso_ACL	12.n33.i33	0.220530808
D_iC31	n33.i33	03.D_iC31	12.n33.i33	0.073334455
nalk_ACL	n33.i33	07.nalk_ACL	12.n33.i33	0.099346273
nalk_CPI	n33.i33	08.nalk_CPI	12.n33.i33	-0.081502385
iso_ACL	nalk_ACL	06.iso_ACL	07.nalk_ACL	0.818992674
mindex	nalk_ACL	14.mindex	07.nalk_ACL	-0.249692991
n33.i33	nalk_ACL	12.n33.i33	07.nalk_ACL	0.099346273
iso_CPI	nalk_ACL	09.iso_CPI	07.nalk_ACL	-0.007520183
anteiso_ACL	nalk_ACL	05.anteiso_ACL	07.nalk_ACL	0.503867567
nalk_CPI	nalk_ACL	08.nalk_CPI	07.nalk_ACL	0.020979051
D_nC33	nalk_ACL	02.D_nC33	07.nalk_ACL	-0.034456827
D_iC33	nalk_ACL	04.D_iC33	07.nalk_ACL	-0.142576858
anteiso_CPI	nalk_ACL	13.anteiso_CPI	07.nalk_ACL	0.060072508
D_iC31	nalk_ACL	03.D_iC31	07.nalk_ACL	-0.194185331
pct_anteiso	nalk_ACL	15.pct_anteiso	07.nalk_ACL	-0.308149993
nalk_ACL	nalk_ACL	07.nalk_ACL	07.nalk_ACL	1
D_nC31	nalk_ACL	01.D_nC31	07.nalk_ACL	-0.033969924
pct_iso	nalk_ACL	10.pct_iso	07.nalk_ACL	-0.061968889
n31.i31	nalk_ACL	11.n31.i31	07.nalk_ACL	-0.221708432
n33.i33	nalk_CPI	12.n33.i33	08.nalk_CPI	-0.081502385
D_nC33	nalk_CPI	02.D_nC33	08.nalk_CPI	-0.039523404
anteiso_ACL	nalk_CPI	05.anteiso_ACL	08.nalk_CPI	0.233017609
mindex	nalk_CPI	14.mindex	08.nalk_CPI	-0.431200415
n31.i31	nalk_CPI	11.n31.i31	08.nalk_CPI	0.009716549
pct_anteiso	nalk_CPI	15.pct_anteiso	08.nalk_CPI	-0.397549689
