trait1	trait2	p.value	BH
pct_iso.alkanes	pct_iso.alkanes	NA	NA
pct_anteiso.alkanes	pct_iso.alkanes	2.68E-11	1.22E-10
Methyl_Index	pct_iso.alkanes	0	0
n.alkane_CPI	pct_iso.alkanes	5.16E-13	3.39E-12
n.alkane_ACL	pct_iso.alkanes	0.003436963	0.009022028
anteiso_CPI	pct_iso.alkanes	0.00029889	0.000848202
anteiso_ACL	pct_iso.alkanes	0.009247813	0.022068644
iso_CPI	pct_iso.alkanes	1.07E-13	8.04E-13
iso_ACL	pct_iso.alkanes	3.13E-08	1.31E-07
eps13C_i.C31	pct_iso.alkanes	0.052568427	0.114993433
eps13C_n.C31	pct_iso.alkanes	0.081944212	0.172082844
eps13C_i.C33	pct_iso.alkanes	0.064573059	0.138370841
eps13C_n.C33	pct_iso.alkanes	0.121528537	0.241459897
n31.i31	pct_iso.alkanes	0.696361421	0.804249807
n33.i33	pct_iso.alkanes	0.351036534	0.526554801
pct_iso.alkanes	pct_anteiso.alkanes	2.68E-11	1.22E-10
pct_anteiso.alkanes	pct_anteiso.alkanes	NA	NA
Methyl_Index	pct_anteiso.alkanes	0	0
n.alkane_CPI	pct_anteiso.alkanes	1.83E-11	8.74E-11
n.alkane_ACL	pct_anteiso.alkanes	8.62E-05	0.000258514
anteiso_CPI	pct_anteiso.alkanes	4.71E-13	3.30E-12
anteiso_ACL	pct_anteiso.alkanes	1.43E-07	5.36E-07
iso_CPI	pct_anteiso.alkanes	0.004280356	0.010961888
iso_ACL	pct_anteiso.alkanes	1.86E-12	1.15E-11
eps13C_i.C31	pct_anteiso.alkanes	0.397086361	0.571151615
eps13C_n.C31	pct_anteiso.alkanes	0.344581328	0.524362891
eps13C_i.C33	pct_anteiso.alkanes	0.341687517	0.524362891
eps13C_n.C33	pct_anteiso.alkanes	0.517077661	0.66211164
n31.i31	pct_anteiso.alkanes	0.66099359	0.788685533
n33.i33	pct_anteiso.alkanes	0.577198225	0.713009572
pct_iso.alkanes	Methyl_Index	0	0
pct_anteiso.alkanes	Methyl_Index	0	0
Methyl_Index	Methyl_Index	NA	NA
n.alkane_CPI	Methyl_Index	9.33E-15	8.90E-14
n.alkane_ACL	Methyl_Index	5.06E-05	0.000156122
anteiso_CPI	Methyl_Index	8.98E-12	4.72E-11
anteiso_ACL	Methyl_Index	3.59E-06	1.22E-05
iso_CPI	Methyl_Index	8.96E-08	3.48E-07
iso_ACL	Methyl_Index	5.31E-14	4.29E-13
eps13C_i.C31	Methyl_Index	0.294262993	0.491834328
eps13C_n.C31	Methyl_Index	0.301005523	0.491834328
eps13C_i.C33	Methyl_Index	0.313084663	0.498089237
eps13C_n.C33	Methyl_Index	0.457491361	0.629840027
n31.i31	Methyl_Index	0.718501533	0.804249807
n33.i33	Methyl_Index	0.983431672	0.998784708
pct_iso.alkanes	n.alkane_CPI	5.16E-13	3.39E-12
pct_anteiso.alkanes	n.alkane_CPI	1.83E-11	8.74E-11
Methyl_Index	n.alkane_CPI	9.33E-15	8.90E-14
n.alkane_CPI	n.alkane_CPI	NA	NA
n.alkane_ACL	n.alkane_CPI	0.127219014	0.247370305
anteiso_CPI	n.alkane_CPI	0.007717156	0.018844217
anteiso_ACL	n.alkane_CPI	0.002873726	0.007736954
iso_CPI	n.alkane_CPI	0.22314051	0.390495892
iso_ACL	n.alkane_CPI	0.041830067	0.093450149
eps13C_i.C31	n.alkane_CPI	0.204950153	0.372552603
eps13C_n.C31	n.alkane_CPI	0.209339082	0.372552603
eps13C_i.C33	n.alkane_CPI	0.479878116	0.629840027
eps13C_n.C33	n.alkane_CPI	0.30446887	0.491834328
n31.i31	n.alkane_CPI	0.275217045	0.473734258
n33.i33	n.alkane_CPI	0.121879758	0.241459897
pct_iso.alkanes	n.alkane_ACL	0.003436963	0.009022028
pct_anteiso.alkanes	n.alkane_ACL	8.62E-05	0.000258514
Methyl_Index	n.alkane_ACL	5.06E-05	0.000156122
n.alkane_CPI	n.alkane_ACL	0.127219014	0.247370305
n.alkane_ACL	n.alkane_ACL	NA	NA
anteiso_CPI	n.alkane_ACL	0.004938998	0.012347495
anteiso_ACL	n.alkane_ACL	4.43E-12	2.45E-11
iso_CPI	n.alkane_ACL	9.25E-07	3.35E-06
iso_ACL	n.alkane_ACL	0	0
eps13C_i.C31	n.alkane_ACL	0.459158222	0.629840027
eps13C_n.C31	n.alkane_ACL	0.488536647	0.633288247
eps13C_i.C33	n.alkane_ACL	0.450352128	0.629840027
eps13C_n.C33	n.alkane_ACL	0.395626317	0.571151615
n31.i31	n.alkane_ACL	0.973417905	0.998784708
n33.i33	n.alkane_ACL	0.477278259	0.629840027
pct_iso.alkanes	anteiso_CPI	0.00029889	0.000848202
pct_anteiso.alkanes	anteiso_CPI	4.71E-13	3.30E-12
Methyl_Index	anteiso_CPI	8.98E-12	4.72E-11
n.alkane_CPI	anteiso_CPI	0.007717156	0.018844217
n.alkane_ACL	anteiso_CPI	0.004938998	0.012347495
anteiso_CPI	anteiso_CPI	NA	NA
anteiso_ACL	anteiso_CPI	0.208798823	0.372552603
iso_CPI	anteiso_CPI	2.95E-06	1.03E-05
iso_ACL	anteiso_CPI	1.88E-08	8.22E-08
eps13C_i.C31	anteiso_CPI	0.475954757	0.629840027
eps13C_n.C31	anteiso_CPI	0.177889511	0.339607248
eps13C_i.C33	anteiso_CPI	0.327649117	0.51347996
eps13C_n.C33	anteiso_CPI	0.204228236	0.372552603
n31.i31	anteiso_CPI	0.03744939	0.08738191
n33.i33	anteiso_CPI	0.302043053	0.491834328
pct_iso.alkanes	anteiso_ACL	0.009247813	0.022068644
pct_anteiso.alkanes	anteiso_ACL	1.43E-07	5.36E-07
Methyl_Index	anteiso_ACL	3.59E-06	1.22E-05
n.alkane_CPI	anteiso_ACL	0.002873726	0.007736954
n.alkane_ACL	anteiso_ACL	4.43E-12	2.45E-11
anteiso_CPI	anteiso_ACL	0.208798823	0.372552603
anteiso_ACL	anteiso_ACL	NA	NA
iso_CPI	anteiso_ACL	0.038500876	0.087882434
iso_ACL	anteiso_ACL	1.57E-11	7.83E-11
eps13C_i.C31	anteiso_ACL	0.719995065	0.804249807
eps13C_n.C31	anteiso_ACL	0.998784708	0.998784708
eps13C_i.C33	anteiso_ACL	0.831222772	0.872783911
eps13C_n.C33	anteiso_ACL	0.994976323	0.998784708
n31.i31	anteiso_ACL	0.812257069	0.86148477
n33.i33	anteiso_ACL	0.739510601	0.80883972
pct_iso.alkanes	iso_CPI	1.07E-13	8.04E-13
pct_anteiso.alkanes	iso_CPI	0.004280356	0.010961888
Methyl_Index	iso_CPI	8.96E-08	3.48E-07
n.alkane_CPI	iso_CPI	0.22314051	0.390495892
n.alkane_ACL	iso_CPI	9.25E-07	3.35E-06
anteiso_CPI	iso_CPI	2.95E-06	1.03E-05
anteiso_ACL	iso_CPI	0.038500876	0.087882434
iso_CPI	iso_CPI	NA	NA
iso_ACL	iso_CPI	3.87E-08	1.56E-07
eps13C_i.C31	iso_CPI	0.393216806	0.571151615
eps13C_n.C31	iso_CPI	0.564192752	0.70524094
eps13C_i.C33	iso_CPI	0.534903244	0.676684826
eps13C_n.C33	iso_CPI	0.786639325	0.848316784
n31.i31	iso_CPI	0.693632659	0.804249807
n33.i33	iso_CPI	0.602141454	0.735172706
pct_iso.alkanes	iso_ACL	3.13E-08	1.31E-07
pct_anteiso.alkanes	iso_ACL	1.86E-12	1.15E-11
Methyl_Index	iso_ACL	5.31E-14	4.29E-13
n.alkane_CPI	iso_ACL	0.041830067	0.093450149
n.alkane_ACL	iso_ACL	0	0
anteiso_CPI	iso_ACL	1.88E-08	8.22E-08
anteiso_ACL	iso_ACL	1.57E-11	7.83E-11
iso_CPI	iso_ACL	3.87E-08	1.56E-07
iso_ACL	iso_ACL	NA	NA
eps13C_i.C31	iso_ACL	0.791762331	0.848316784
eps13C_n.C31	iso_ACL	0.737564381	0.80883972
eps13C_i.C33	iso_ACL	0.709971728	0.804249807
eps13C_n.C33	iso_ACL	0.925910082	0.962579788
n31.i31	iso_ACL	0.466362509	0.629840027
n33.i33	iso_ACL	0.6340166	0.765192448
pct_iso.alkanes	eps13C_i.C31	0.052568427	0.114993433
pct_anteiso.alkanes	eps13C_i.C31	0.397086361	0.571151615
Methyl_Index	eps13C_i.C31	0.294262993	0.491834328
n.alkane_CPI	eps13C_i.C31	0.204950153	0.372552603
n.alkane_ACL	eps13C_i.C31	0.459158222	0.629840027
anteiso_CPI	eps13C_i.C31	0.475954757	0.629840027
anteiso_ACL	eps13C_i.C31	0.719995065	0.804249807
