trait1	trait2	ord.trait1	ord.trait2	p.value	BH	BH.NA	qual.pval
D_iC33	D_iC31	04.D_iC33	03.D_iC31	0	0	2.20E-16	less_than_05
D_nC31	D_iC31	01.D_nC31	03.D_iC31	0	0	2.20E-16	less_than_05
D_nC33	D_iC31	02.D_nC33	03.D_iC31	0	0	2.20E-16	less_than_05
D_nC33	D_iC33	02.D_nC33	04.D_iC33	0	0	2.20E-16	less_than_05
D_iC31	D_iC33	03.D_iC31	04.D_iC33	0	0	2.20E-16	less_than_05
D_nC31	D_iC33	01.D_nC31	04.D_iC33	0	0	2.20E-16	less_than_05
D_iC31	D_nC31	03.D_iC31	01.D_nC31	0	0	2.20E-16	less_than_05
D_nC33	D_nC31	02.D_nC33	01.D_nC31	0	0	2.20E-16	less_than_05
D_iC33	D_nC31	04.D_iC33	01.D_nC31	0	0	2.20E-16	less_than_05
D_iC31	D_nC33	03.D_iC31	02.D_nC33	0	0	2.20E-16	less_than_05
D_iC33	D_nC33	04.D_iC33	02.D_nC33	0	0	2.20E-16	less_than_05
D_nC31	D_nC33	01.D_nC31	02.D_nC33	0	0	2.20E-16	less_than_05
nalk_ACL	iso_ACL	07.nalk_ACL	06.iso_ACL	0	0	2.20E-16	less_than_05
pct_anteiso	mindex	15.pct_anteiso	14.mindex	0	0	2.20E-16	less_than_05
iso_ACL	nalk_ACL	06.iso_ACL	07.nalk_ACL	0	0	2.20E-16	less_than_05
mindex	pct_anteiso	14.mindex	15.pct_anteiso	0	0	2.20E-16	less_than_05
n33.i33	n31.i31	12.n33.i33	11.n31.i31	1.09E-11	1.27E-10	1.27E-10	less_than_05
n31.i31	n33.i33	11.n31.i31	12.n33.i33	1.09E-11	1.27E-10	1.27E-10	less_than_05
pct_iso	mindex	10.pct_iso	14.mindex	2.49E-10	2.61E-09	2.61E-09	less_than_05
mindex	pct_iso	14.mindex	10.pct_iso	2.49E-10	2.61E-09	2.61E-09	less_than_05
pct_anteiso	anteiso_CPI	15.pct_anteiso	13.anteiso_CPI	3.78E-06	3.61E-05	3.61E-05	less_than_05
anteiso_CPI	pct_anteiso	13.anteiso_CPI	15.pct_anteiso	3.78E-06	3.61E-05	3.61E-05	less_than_05
nalk_ACL	anteiso_ACL	07.nalk_ACL	05.anteiso_ACL	6.42E-06	5.62E-05	5.62E-05	less_than_05
anteiso_ACL	nalk_ACL	05.anteiso_ACL	07.nalk_ACL	6.42E-06	5.62E-05	5.62E-05	less_than_05
n31.i31	D_nC31	11.n31.i31	01.D_nC31	3.32E-05	0.000268425	0.000268425	less_than_05
D_nC31	n31.i31	01.D_nC31	11.n31.i31	3.32E-05	0.000268425	0.000268425	less_than_05
pct_anteiso	n31.i31	15.pct_anteiso	11.n31.i31	3.85E-05	0.000288698	0.000288698	less_than_05
n31.i31	pct_anteiso	11.n31.i31	15.pct_anteiso	3.85E-05	0.000288698	0.000288698	less_than_05
mindex	anteiso_CPI	14.mindex	13.anteiso_CPI	0.000144179	0.001009255	0.001009255	less_than_05
anteiso_CPI	mindex	13.anteiso_CPI	14.mindex	0.000144179	0.001009255	0.001009255	less_than_05
nalk_CPI	mindex	08.nalk_CPI	14.mindex	0.000155929	0.001023284	0.001023284	less_than_05
mindex	nalk_CPI	14.mindex	08.nalk_CPI	0.000155929	0.001023284	0.001023284	less_than_05
n31.i31	mindex	11.n31.i31	14.mindex	0.000173497	0.0010716	0.0010716	less_than_05
mindex	n31.i31	14.mindex	11.n31.i31	0.000173497	0.0010716	0.0010716	less_than_05
n31.i31	D_nC33	11.n31.i31	02.D_nC33	0.000217072	0.001266254	0.001266254	less_than_05
D_nC33	n31.i31	02.D_nC33	11.n31.i31	0.000217072	0.001266254	0.001266254	less_than_05
pct_iso	iso_CPI	10.pct_iso	09.iso_CPI	0.000356749	0.001971507	0.001971507	less_than_05
iso_CPI	pct_iso	09.iso_CPI	10.pct_iso	0.000356749	0.001971507	0.001971507	less_than_05
iso_ACL	anteiso_ACL	06.iso_ACL	05.anteiso_ACL	0.000455858	0.002393252	0.002393252	less_than_05
anteiso_ACL	iso_ACL	05.anteiso_ACL	06.iso_ACL	0.000455858	0.002393252	0.002393252	less_than_05
pct_anteiso	nalk_CPI	15.pct_anteiso	08.nalk_CPI	0.000544249	0.002721247	0.002721247	less_than_05
nalk_CPI	pct_anteiso	08.nalk_CPI	15.pct_anteiso	0.000544249	0.002721247	0.002721247	less_than_05
n33.i33	mindex	12.n33.i33	14.mindex	0.000585743	0.002795594	0.002795594	less_than_05
mindex	n33.i33	14.mindex	12.n33.i33	0.000585743	0.002795594	0.002795594	less_than_05
iso_CPI	D_iC33	09.iso_CPI	04.D_iC33	0.000724691	0.003043701	0.003043701	less_than_05
n33.i33	D_nC33	12.n33.i33	02.D_nC33	0.000721284	0.003043701	0.003043701	less_than_05
pct_anteiso	iso_ACL	15.pct_anteiso	06.iso_ACL	0.000716786	0.003043701	0.003043701	less_than_05
D_iC33	iso_CPI	04.D_iC33	09.iso_CPI	0.000724691	0.003043701	0.003043701	less_than_05
