trait1	trait2	p.value	BH
DEV.CompAll	DEV.CompAll	NA	NA
DEV.CompInt	DEV.CompAll	0	0
DEV.CompPri	DEV.CompAll	0	0
DEV.CompRachis	DEV.CompAll	0	0
DEV.CompSec	DEV.CompAll	0	0
DEV.CotPaveAR	DEV.CompAll	0.809978625	0.93943851
DEV.CotPaveArea	DEV.CompAll	0.053030743	0.280139357
DEV.CotPaveCirc	DEV.CompAll	0.136476121	0.456214582
DEV.CotPaveCnt	DEV.CompAll	0.057585643	0.293734361
DEV.CotPaveRound	DEV.CompAll	0.751093201	0.917773079
DEV.CotPaveSolid	DEV.CompAll	0.297999715	0.650828585
DEV.CotStom	DEV.CompAll	0.131304292	0.448030239
DEV.CotStomInd	DEV.CompAll	0.850190027	0.952847926
DEV.FlowTime	DEV.CompAll	0.006084382	0.068253445
DEV.LatLfSize	DEV.CompAll	0.002067865	0.030588366
DEV.LatPC1	DEV.CompAll	0.249861984	0.601139043
DEV.LatPC2	DEV.CompAll	0.007618135	0.080063425
DEV.LatPC3	DEV.CompAll	0.014700618	0.125608765
DEV.LatPC4	DEV.CompAll	0.000367302	0.007823271
DEV.LatPC5	DEV.CompAll	0.001428695	0.023055324
DEV.LfAbStom	DEV.CompAll	0.000231615	0.005353186
DEV.LfAdStom	DEV.CompAll	0.162612645	0.494898818
DEV.LfStomRatio	DEV.CompAll	0.6089358	0.855152084
DEV.LftAR	DEV.CompAll	0.40847678	0.736421914
DEV.LftCirc	DEV.CompAll	0.000505301	0.010108193
DEV.LftRound	DEV.CompAll	0.488234305	0.786241005
DEV.LftSolid	DEV.CompAll	5.37E-05	0.00160469
DEV.TermLfSize	DEV.CompAll	6.23E-05	0.001814324
DEV.TermPC1	DEV.CompAll	0.324778746	0.672799843
DEV.TermPC3	DEV.CompAll	0.002071851	0.030608235
DEV.TermPC4	DEV.CompAll	0.000277833	0.006196084
DEV.TermPC5	DEV.CompAll	0.000104528	0.002784033
ENZ.aa_cont	DEV.CompAll	0.488399801	0.78633025
ENZ.ac_inv	DEV.CompAll	0.290102179	0.642868267
ENZ.aconi	DEV.CompAll	0.34991032	0.694294738
ENZ.agpa	DEV.CompAll	0.027702109	0.18927857
ENZ.ala_ami	DEV.CompAll	0.31578403	0.667360023
ENZ.asp_ami	DEV.CompAll	0.499703608	0.793972564
ENZ.fbp_ald	DEV.CompAll	0.275227357	0.6259766
ENZ.fru_kin	DEV.CompAll	0.745180838	0.915790443
ENZ.fructose_e	DEV.CompAll	0.925855105	0.977970632
ENZ.fuma	DEV.CompAll	0.789083552	0.932180569
ENZ.g6pdh	DEV.CompAll	0.865964187	0.957155738
ENZ.gadph	DEV.CompAll	0.984290722	0.995955093
ENZ.gapdh_p	DEV.CompAll	0.203015753	0.548342531
ENZ.gluc_kin	DEV.CompAll	0.497611167	0.792945521
ENZ.glucose_e	DEV.CompAll	2.15E-07	1.32E-05
ENZ.gluta_dh	DEV.CompAll	0.0588207	0.297414191
ENZ.iso_ci_dh	DEV.CompAll	0.987095685	0.997222669
ENZ.mal_dh	DEV.CompAll	0.038078374	0.22886306
ENZ.pep_car	DEV.CompAll	0.660424891	0.879656679
ENZ.ph_fru_kin	DEV.CompAll	0.692883171	0.894377758
ENZ.ph_fru_kin_a	DEV.CompAll	0.806454977	0.937962981
ENZ.ph_glu_is_c	DEV.CompAll	0.729428215	0.910379717
ENZ.ph_glu_is_t	DEV.CompAll	0.68942092	0.892939304
ENZ.ph_glu_mut	DEV.CompAll	0.262586944	0.61423744
ENZ.ph_gly_kin	DEV.CompAll	0.063176917	0.30980285
ENZ.pro_con	DEV.CompAll	0.435767414	0.754433853
ENZ.pyr_kin	DEV.CompAll	0.969148072	0.99105828
ENZ.shik_de	DEV.CompAll	0.093135502	0.379013355
ENZ.starch	DEV.CompAll	0.162306419	0.49461276
ENZ.suc_p_syn	DEV.CompAll	0.770170536	0.924912143
ENZ.suc_syn	DEV.CompAll	0.567564019	0.833406802
ENZ.succ_co_l	DEV.CompAll	0.582464215	0.841775321
ENZ.sucrose_e	DEV.CompAll	0.408223892	0.736256248
ENZ.tr_ph_iso	DEV.CompAll	0.818462968	0.9423459
ENZ.udp_glu	DEV.CompAll	0.529317386	0.811189216
MET.a_tocopherol	DEV.CompAll	0.706096621	0.900319067
MET.aconitate	DEV.CompAll	0.645228711	0.872261137
MET.alanine	DEV.CompAll	0.686137663	0.891259628
MET.arabinose	DEV.CompAll	0.571886914	0.836037085
MET.arginine	DEV.CompAll	0.207584121	0.553980949
MET.asparagine	DEV.CompAll	0.022565958	0.166204785
MET.aspartate	DEV.CompAll	0.818098452	0.942264189
MET.b_alanine	DEV.CompAll	0.420232085	0.744093358
MET.benzoate	DEV.CompAll	0.221768644	0.571273082
MET.citramalate	DEV.CompAll	0.034517732	0.216004225
MET.citrate	DEV.CompAll	0.14158585	0.463747927
MET.cysteine	DEV.CompAll	0.078512563	0.34589764
MET.dehydroascorbate	DEV.CompAll	0.059245023	0.299015756
MET.erythritol	DEV.CompAll	0.243939948	0.595653942
MET.fa16_0	DEV.CompAll	0.978307481	0.993475599
MET.fa18_0	DEV.CompAll	0.900196859	0.969115949
MET.fa18_2	DEV.CompAll	0.144624222	0.468837976
MET.fructose	DEV.CompAll	0.004378467	0.054300764
MET.fructose_6p	DEV.CompAll	0.054988673	0.286744959
MET.fucose	DEV.CompAll	0.201631321	0.546957628
MET.fumarate	DEV.CompAll	0.726744183	0.909006219
MET.gaba	DEV.CompAll	0.269422778	0.621825233
MET.galactose	DEV.CompAll	0.345296774	0.691038327
MET.galacturonate	DEV.CompAll	0.175240688	0.512687634
MET.gluconate	DEV.CompAll	0.646361819	0.872693084
MET.glucose	DEV.CompAll	0.001522863	0.02439198
MET.glucose_6p	DEV.CompAll	0.099406452	0.391714928
MET.glutamate	DEV.CompAll	0.922998358	0.977178869
MET.glutamine	DEV.CompAll	0.597234437	0.849669788
MET.glycerate	DEV.CompAll	0.600012338	0.850564935
MET.glycerate_3p	DEV.CompAll	0.180164903	0.520129212
MET.glycerol	DEV.CompAll	0.661416732	0.880147277
MET.glycerol_1p	DEV.CompAll	0.051538048	0.274692785
MET.glycine	DEV.CompAll	0.647205571	0.8730766
MET.homoserine	DEV.CompAll	0.86928517	0.95784217
MET.inositol	DEV.CompAll	0.041693927	0.24190896
MET.inositol_1p	DEV.CompAll	0.872239058	0.959072009
MET.isocitrate	DEV.CompAll	0.312822568	0.664620218
MET.isoleucine	DEV.CompAll	0.39918556	0.730418605
MET.isomaltose	DEV.CompAll	0.899248794	0.968645996
MET.l_ascorbate	DEV.CompAll	0.532704466	0.813357553
MET.leucine	DEV.CompAll	0.233237042	0.584053287
MET.lysine	DEV.CompAll	0.231748387	0.582306532
MET.malate	DEV.CompAll	0.703655904	0.899215911
MET.maleate	DEV.CompAll	0.025606564	0.180608619
MET.maltitol	DEV.CompAll	0.227138965	0.577192117
MET.maltose	DEV.CompAll	0.061134958	0.304358399
MET.mannitol	DEV.CompAll	0.848216048	0.952246095
MET.mannose	DEV.CompAll	0.33039025	0.678341806
MET.methionine	DEV.CompAll	0.458881038	0.768677276
MET.oxoproline_5	DEV.CompAll	0.480951173	0.78198497
MET.phenylalanine	DEV.CompAll	0.573474866	0.836478283
MET.phosphate	DEV.CompAll	0.957004183	0.987045417
MET.proline	DEV.CompAll	0.081444638	0.35269135
MET.putrescine	DEV.CompAll	0.275331717	0.626112115
MET.quinate	DEV.CompAll	0.011805355	0.108245426
MET.rhamnose	DEV.CompAll	0.498806282	0.79334214
MET.ribose	DEV.CompAll	0.613151826	0.857541706
MET.s_me_cysteine	DEV.CompAll	0.165658302	0.499424817
MET.saccharate	DEV.CompAll	0.814455521	0.940999584
MET.serine	DEV.CompAll	0.72801759	0.909434741
MET.shikimate	DEV.CompAll	0.500492993	0.794324218
MET.sorbitol	DEV.CompAll	0.673732242	0.885954572
MET.succinate	DEV.CompAll	0.588294728	0.845309066
MET.sucrose	DEV.CompAll	0.272833312	0.624799903
MET.t4_ho_proline	DEV.CompAll	0.733449798	0.91150288
MET.threonate	DEV.CompAll	0.430507279	0.751733642
MET.threonine	DEV.CompAll	0.604925029	0.853119318
MET.trehalose	DEV.CompAll	0.878152043	0.960813773
MET.tryptophan	DEV.CompAll	0.793225389	0.933563725
MET.tyrosine	DEV.CompAll	0.416161848	0.741001087
MET.uracil	DEV.CompAll	0.177100568	0.5152184
MET.valine	DEV.CompAll	0.099753264	0.392583702
MOR.Anther_L_W	DEV.CompAll	0.179088987	0.518361913
MOR.Anther_length	DEV.CompAll	0.452239755	0.764929054
MOR.Anther_width	DEV.CompAll	0.296097987	0.649539427
MOR.BM	DEV.CompAll	1.92E-05	0.000673916
MOR.BX	DEV.CompAll	0.000454053	0.00930259
MOR.BY	DEV.CompAll	0.000361585	0.007742795
MOR.EA	DEV.CompAll	0.048849997	0.266028749
MOR.flowers_inf	DEV.CompAll	0.200966038	0.546341617
MOR.flowers_plant	DEV.CompAll	0.058671534	0.296978845
MOR.FN	DEV.CompAll	0.003889457	0.049827102
MOR.Fruit_L_Pt	DEV.CompAll	0.878121146	0.960813773
MOR.Fruit_L_W	DEV.CompAll	0.113743223	0.418515722
MOR.Fruit_length	DEV.CompAll	0.295192865	0.648647439
MOR.Fruit_locule	DEV.CompAll	0.589214793	0.846092091
MOR.Fruit_peric_thick	DEV.CompAll	0.06011185	0.302028025
MOR.Fruit_W_Pt	DEV.CompAll	0.16393017	0.496907774
MOR.Fruit_width	DEV.CompAll	0.841766374	0.95076084
MOR.FW	DEV.CompAll	0.897452636	0.967994463
MOR.HI	DEV.CompAll	0.060973024	0.304006347
MOR.inf	DEV.CompAll	0.008980127	0.089692221
MOR.Ovary_L_W	DEV.CompAll	0.684753128	0.890900818
MOR.Ovary_length	DEV.CompAll	0.208206433	0.554635044
MOR.Ovary_width	DEV.CompAll	0.45576491	0.767318131
MOR.PW	DEV.CompAll	4.71E-06	0.000203577
MOR.RED	DEV.CompAll	0.014407508	0.123966856
MOR.Seed_L_W	DEV.CompAll	0.441466035	0.758356212
MOR.Seed_Length	DEV.CompAll	0.807367557	0.93832195
MOR.Seed_Width	DEV.CompAll	0.805926681	0.937896627
MOR.Seed_Wt	DEV.CompAll	0.122931842	0.434679575
MOR.SN_fruit	DEV.CompAll	0.358440566	0.701718797
MOR.SN_fruit_unit	DEV.CompAll	0.59002452	0.846393124
MOR.SN_plant	DEV.CompAll	0.012866188	0.115067417
MOR.Style_L_W	DEV.CompAll	0.075092007	0.338465338
MOR.Style_length	DEV.CompAll	0.09929317	0.391434
MOR.Style_width	DEV.CompAll	0.456943343	0.768092794
MOR.SW_fruit	DEV.CompAll	0.201955391	0.546957628
MOR.SW_plant	DEV.CompAll	0.007280039	0.077585556
MOR.TY	DEV.CompAll	0.006945936	0.075145086
SED.Adenine_seeds	DEV.CompAll	0.718313769	0.904960405
SED.Alanine_seeds	DEV.CompAll	0.37567356	0.713534826
SED.Arginine_seeds	DEV.CompAll	0.215354869	0.56407233
SED.Asparagine_seeds	DEV.CompAll	0.955759554	0.986849151
SED.Aspartate_seeds	DEV.CompAll	0.330508482	0.678534739
SED.Benzoate_seeds	DEV.CompAll	0.29884945	0.651663127
SED.Citrate_seeds	DEV.CompAll	0.558460815	0.828229048
SED.Erythritol_seeds	DEV.CompAll	0.008208247	0.084456159
SED.Fructose_seeds	DEV.CompAll	0.94279636	0.983740144
SED.Fumarate_seeds	DEV.CompAll	0.877281527	0.960650581
SED.GABA_seeds	DEV.CompAll	0.614627977	0.857902554
SED.Galactinol_seeds	DEV.CompAll	0.134095267	0.452310726
SED.Galactonic_acid_1_4_lactone_seeds	DEV.CompAll	0.997701942	0.999727962
SED.Glutamate_seeds	DEV.CompAll	0.994904332	0.99926356
SED.Glycerate_seeds	DEV.CompAll	0.01466944	0.125418999
SED.Glycerol_1P_seeds	DEV.CompAll	0.49256182	0.789171232
SED.Glycerol_seeds	DEV.CompAll	0.815497333	0.941508122
SED.Glycine_seeds	DEV.CompAll	0.801129972	0.936352048
SED.Glycolate_seeds	DEV.CompAll	0.626480441	0.864168493
SED.Isoleucine_seeds	DEV.CompAll	0.545687793	0.820773954
SED.Lysine_seeds	DEV.CompAll	0.870965015	0.958412305
SED.Malate_seeds	DEV.CompAll	0.04252523	0.244955834
SED.Maltotriose_seeds	DEV.CompAll	0.550047572	0.823726961
SED.Melezitose_seeds	DEV.CompAll	0.035100479	0.218186262
SED.Myo_Inositol_seeds	DEV.CompAll	0.099965002	0.392881518
SED.NA_sugar_seeds	DEV.CompAll	0.814330071	0.940960402
SED.Nicotinate_seeds	DEV.CompAll	0.891449517	0.965970238
SED.Nonanoate_seeds	DEV.CompAll	0.147942614	0.47343668
SED.Octadecanoate_seeds	DEV.CompAll	0.301093508	0.65284008
SED.Phenylalanine_seeds	DEV.CompAll	0.571203532	0.835343721
SED.Phosphate_seeds	DEV.CompAll	0.543684058	0.819665167
SED.Proline_seeds	DEV.CompAll	0.333407798	0.680814912
SED.Putrescine_seeds	DEV.CompAll	0.889937128	0.965511182
SED.Raffinose_seeds	DEV.CompAll	0.326127235	0.673823365
SED.Salicylate_seeds	DEV.CompAll	0.85363727	0.953471022
SED.Serine_seeds	DEV.CompAll	0.554243497	0.826489057
SED.Succinate_seeds	DEV.CompAll	0.622514697	0.862142624
SED.Threonine_seeds	DEV.CompAll	0.334166773	0.681343538
SED.Trehalose_alpha_alpha_seeds	DEV.CompAll	0.139740669	0.461168158
SED.Tyrosine_seeds	DEV.CompAll	0.423942787	0.746897587
SED.Uracil_seeds	DEV.CompAll	0.867491345	0.95736401
SED.Urea_seeds	DEV.CompAll	0.607409439	0.854381445
SED.Valine_seeds	DEV.CompAll	0.542350215	0.818968239
SED.X4_Hydroxy_Benzoate_seeds	DEV.CompAll	0.672000919	0.884759554
WAX.pct_iso	DEV.CompAll	0.218973988	0.568178378
WAX.pct_anteiso	DEV.CompAll	0.690087306	0.893140578
WAX.mindex	DEV.CompAll	0.525107541	0.808151902
WAX.nalk_CPI	DEV.CompAll	0.02760851	0.188869766
WAX.nalk_ACL	DEV.CompAll	0.601855672	0.851882565
WAX.anteiso_CPI	DEV.CompAll	0.452599149	0.765380547
WAX.anteiso_ACL	DEV.CompAll	0.190619371	0.533086134
WAX.iso_CPI	DEV.CompAll	0.394750747	0.727322482
WAX.iso_ACL	DEV.CompAll	0.980341461	0.99431434
WAX.13eps_iC31	DEV.CompAll	0.271766997	0.623797456
WAX.13eps_nC31	DEV.CompAll	0.28046422	0.631879488
