trait	num.trait
ENZ.mal_dh	001.ENZ.mal_dh
ENZ.ph_glu_mut	002.ENZ.ph_glu_mut
ENZ.udp_glu	003.ENZ.udp_glu
ENZ.pep_car	004.ENZ.pep_car
ENZ.ph_glu_is_c	005.ENZ.ph_glu_is_c
ENZ.pro_con	006.ENZ.pro_con
ENZ.ph_fru_kin_a	007.ENZ.ph_fru_kin_a
ENZ.pyr_kin	008.ENZ.pyr_kin
ENZ.suc_p_syn	009.ENZ.suc_p_syn
ENZ.tr_ph_iso	010.ENZ.tr_ph_iso
ENZ.ph_glu_is_t	011.ENZ.ph_glu_is_t
ENZ.gadph	012.ENZ.gadph
ENZ.ph_fru_kin	013.ENZ.ph_fru_kin
ENZ.g6pdh	014.ENZ.g6pdh
MET.putrescine	015.MET.putrescine
MET.succinate	016.MET.succinate
ENZ.ala_ami	017.ENZ.ala_ami
ENZ.aconi	018.ENZ.aconi
ENZ.asp_ami	019.ENZ.asp_ami
WAX.13eps_nC31	020.WAX.13eps_nC31
WAX.13eps_nC33	021.WAX.13eps_nC33
WAX.13eps_iC31	022.WAX.13eps_iC31
WAX.13eps_iC33	023.WAX.13eps_iC33
DEV.CotPaveCirc	024.DEV.CotPaveCirc
DEV.CotPaveSolid	025.DEV.CotPaveSolid
DEV.LfAdStom	026.DEV.LfAdStom
DEV.LfStomRatio	027.DEV.LfStomRatio
DEV.LatPC2	028.DEV.LatPC2
MET.citramalate	029.MET.citramalate
DEV.FlowTime	030.DEV.FlowTime
DEV.LfAbStom	031.DEV.LfAbStom
DEV.LatLfSize	032.DEV.LatLfSize
DEV.TermLfSize	033.DEV.TermLfSize
WAX.anteiso_ACL	034.WAX.anteiso_ACL
WAX.nalk_ACL	035.WAX.nalk_ACL
WAX.iso_ACL	036.WAX.iso_ACL
DEV.CotPaveAR	037.DEV.CotPaveAR
DEV.CotPaveRound	038.DEV.CotPaveRound
ENZ.fbp_ald	039.ENZ.fbp_ald
MET.maleate	040.MET.maleate
ENZ.agpa	041.ENZ.agpa
MET.aconitate	042.MET.aconitate
MET.fumarate	043.MET.fumarate
MET.shikimate	044.MET.shikimate
MOR.flowers_inf	045.MOR.flowers_inf
ENZ.suc_syn	046.ENZ.suc_syn
MET.sorbitol	047.MET.sorbitol
ENZ.gluta_dh	048.ENZ.gluta_dh
SED.Galactinol_seeds	049.SED.Galactinol_seeds
SED.Melezitose_seeds	050.SED.Melezitose_seeds
SED.Trehalose_alpha_alpha_seeds	051.SED.Trehalose_alpha_alpha_seeds
ENZ.ac_inv	052.ENZ.ac_inv
ENZ.gluc_kin	053.ENZ.gluc_kin
ENZ.succ_co_l	054.ENZ.succ_co_l
ENZ.starch	055.ENZ.starch
MET.uracil	056.MET.uracil
MET.benzoate	057.MET.benzoate
