trait1	trait2	p.value	BH
pct_iso.alkanes	pct_iso.alkanes	NA	NA
pct_anteiso.alkanes	pct_iso.alkanes	2.68E-11	1.40E-10
Methyl_Index	pct_iso.alkanes	0	0
n.alkane_CPI	pct_iso.alkanes	5.16E-13	3.87E-12
n.alkane_ACL	pct_iso.alkanes	0.003436963	0.009819894
anteiso_CPI	pct_iso.alkanes	0.00029889	0.000919662
anteiso_ACL	pct_iso.alkanes	0.009247813	0.023611437
iso_CPI	pct_iso.alkanes	1.07E-13	9.19E-13
iso_ACL	pct_iso.alkanes	3.13E-08	1.50E-07
eps13C_i.C31	pct_iso.alkanes	0.052568427	0.121311754
eps13C_n.C31	pct_iso.alkanes	0.081944212	0.175594739
eps13C_i.C33	pct_iso.alkanes	0.064573059	0.146203153
eps13C_n.C33	pct_iso.alkanes	0.121528537	0.243759515
n31.i31	pct_iso.alkanes	0.696361421	0.792655117
n33.i33	pct_iso.alkanes	0.351036534	0.522716251
Sum_Alk.area	pct_iso.alkanes	0.067715668	0.147743275
pct_iso.alkanes	pct_anteiso.alkanes	2.68E-11	1.40E-10
pct_anteiso.alkanes	pct_anteiso.alkanes	NA	NA
Methyl_Index	pct_anteiso.alkanes	0	0
n.alkane_CPI	pct_anteiso.alkanes	1.83E-11	9.99E-11
n.alkane_ACL	pct_anteiso.alkanes	8.62E-05	0.000287238
anteiso_CPI	pct_anteiso.alkanes	4.71E-13	3.77E-12
anteiso_ACL	pct_anteiso.alkanes	1.43E-07	6.12E-07
iso_CPI	pct_anteiso.alkanes	0.004280356	0.01194518
iso_ACL	pct_anteiso.alkanes	1.86E-12	1.31E-11
eps13C_i.C31	pct_anteiso.alkanes	0.397086361	0.56726623
eps13C_n.C31	pct_anteiso.alkanes	0.344581328	0.522716251
eps13C_i.C33	pct_anteiso.alkanes	0.341687517	0.522716251
eps13C_n.C33	pct_anteiso.alkanes	0.517077661	0.660099142
n31.i31	pct_anteiso.alkanes	0.66099359	0.770200324
n33.i33	pct_anteiso.alkanes	0.577198225	0.71405966
Sum_Alk.area	pct_anteiso.alkanes	0.101590097	0.213873889
pct_iso.alkanes	Methyl_Index	0	0
pct_anteiso.alkanes	Methyl_Index	0	0
Methyl_Index	Methyl_Index	NA	NA
n.alkane_CPI	Methyl_Index	9.33E-15	1.02E-13
n.alkane_ACL	Methyl_Index	5.06E-05	0.000173327
anteiso_CPI	Methyl_Index	8.98E-12	5.39E-11
anteiso_ACL	Methyl_Index	3.59E-06	1.35E-05
iso_CPI	Methyl_Index	8.96E-08	3.98E-07
iso_ACL	Methyl_Index	5.31E-14	4.90E-13
eps13C_i.C31	Methyl_Index	0.294262993	0.493733302
eps13C_n.C31	Methyl_Index	0.301005523	0.493733302
eps13C_i.C33	Methyl_Index	0.313084663	0.500935462
eps13C_n.C33	Methyl_Index	0.457491361	0.625927977
n31.i31	Methyl_Index	0.718501533	0.792655117
n33.i33	Methyl_Index	0.983431672	0.998784708
Sum_Alk.area	Methyl_Index	0.066124483	0.146943297
pct_iso.alkanes	n.alkane_CPI	5.16E-13	3.87E-12
pct_anteiso.alkanes	n.alkane_CPI	1.83E-11	9.99E-11
Methyl_Index	n.alkane_CPI	9.33E-15	1.02E-13
n.alkane_CPI	n.alkane_CPI	NA	NA
n.alkane_ACL	n.alkane_CPI	0.127219014	0.250266913
anteiso_CPI	n.alkane_CPI	0.007717156	0.02013171
anteiso_ACL	n.alkane_CPI	0.002873726	0.008410904
iso_CPI	n.alkane_CPI	0.22314051	0.388070452
iso_ACL	n.alkane_CPI	0.041830067	0.098423686
eps13C_i.C31	n.alkane_CPI	0.204950153	0.369421909
eps13C_n.C31	n.alkane_CPI	0.209339082	0.369421909
eps13C_i.C33	n.alkane_CPI	0.479878116	0.625927977
eps13C_n.C33	n.alkane_CPI	0.30446887	0.493733302
n31.i31	n.alkane_CPI	0.275217045	0.471800649
n33.i33	n.alkane_CPI	0.121879758	0.243759515
Sum_Alk.area	n.alkane_CPI	0.020826283	0.052065707
pct_iso.alkanes	n.alkane_ACL	0.003436963	0.009819894
pct_anteiso.alkanes	n.alkane_ACL	8.62E-05	0.000287238
Methyl_Index	n.alkane_ACL	5.06E-05	0.000173327
n.alkane_CPI	n.alkane_ACL	0.127219014	0.250266913
n.alkane_ACL	n.alkane_ACL	NA	NA
anteiso_CPI	n.alkane_ACL	0.004938998	0.013469995
anteiso_ACL	n.alkane_ACL	4.43E-12	2.79E-11
iso_CPI	n.alkane_ACL	9.25E-07	3.70E-06
iso_ACL	n.alkane_ACL	0	0
eps13C_i.C31	n.alkane_ACL	0.459158222	0.625927977
eps13C_n.C31	n.alkane_ACL	0.488536647	0.630369868
eps13C_i.C33	n.alkane_ACL	0.450352128	0.625927977
eps13C_n.C33	n.alkane_ACL	0.395626317	0.56726623
n31.i31	n.alkane_ACL	0.973417905	0.998377338
n33.i33	n.alkane_ACL	0.477278259	0.625927977
Sum_Alk.area	n.alkane_ACL	0.000276813	0.000874146
pct_iso.alkanes	anteiso_CPI	0.00029889	0.000919662
pct_anteiso.alkanes	anteiso_CPI	4.71E-13	3.77E-12
Methyl_Index	anteiso_CPI	8.98E-12	5.39E-11
n.alkane_CPI	anteiso_CPI	0.007717156	0.02013171
n.alkane_ACL	anteiso_CPI	0.004938998	0.013469995
anteiso_CPI	anteiso_CPI	NA	NA
anteiso_ACL	anteiso_CPI	0.208798823	0.369421909
iso_CPI	anteiso_CPI	2.95E-06	1.14E-05
iso_ACL	anteiso_CPI	1.88E-08	9.40E-08
eps13C_i.C31	anteiso_CPI	0.475954757	0.625927977
eps13C_n.C31	anteiso_CPI	0.177889511	0.333542833
eps13C_i.C33	anteiso_CPI	0.327649117	0.517340712
eps13C_n.C33	anteiso_CPI	0.204228236	0.369421909
n31.i31	anteiso_CPI	0.03744939	0.091712792
n33.i33	anteiso_CPI	0.302043053	0.493733302
Sum_Alk.area	anteiso_CPI	4.96E-07	2.05E-06
pct_iso.alkanes	anteiso_ACL	0.009247813	0.023611437
pct_anteiso.alkanes	anteiso_ACL	1.43E-07	6.12E-07
Methyl_Index	anteiso_ACL	3.59E-06	1.35E-05
n.alkane_CPI	anteiso_ACL	0.002873726	0.008410904
n.alkane_ACL	anteiso_ACL	4.43E-12	2.79E-11
anteiso_CPI	anteiso_ACL	0.208798823	0.369421909
anteiso_ACL	anteiso_ACL	NA	NA
iso_CPI	anteiso_ACL	0.038500876	0.092402102
iso_ACL	anteiso_ACL	1.57E-11	8.95E-11
eps13C_i.C31	anteiso_ACL	0.719995065	0.792655117
eps13C_n.C31	anteiso_ACL	0.998784708	0.998784708
eps13C_i.C33	anteiso_ACL	0.831222772	0.867362893
eps13C_n.C33	anteiso_ACL	0.994976323	0.998784708
n31.i31	anteiso_ACL	0.812257069	0.855007441
n33.i33	anteiso_ACL	0.739510601	0.79947092
Sum_Alk.area	anteiso_ACL	0.630677997	0.753287049
pct_iso.alkanes	iso_CPI	1.07E-13	9.19E-13
pct_anteiso.alkanes	iso_CPI	0.004280356	0.01194518
Methyl_Index	iso_CPI	8.96E-08	3.98E-07
n.alkane_CPI	iso_CPI	0.22314051	0.388070452
n.alkane_ACL	iso_CPI	9.25E-07	3.70E-06
anteiso_CPI	iso_CPI	2.95E-06	1.14E-05
anteiso_ACL	iso_CPI	0.038500876	0.092402102
iso_CPI	iso_CPI	NA	NA
iso_ACL	iso_CPI	3.87E-08	1.78E-07
