trait1	trait2	ord.trait1	ord.trait2	p.value	BH	BH.NA	qual.pval
eps13C_n.C31	eps13C_i.C31	11.eps13C_n.C31	13.eps13C_i.C31	0	0	2.20E-16	less_than_05
eps13C_n.C33	eps13C_i.C31	12.eps13C_n.C33	13.eps13C_i.C31	0	0	2.20E-16	less_than_05
eps13C_i.C33	eps13C_i.C31	14.eps13C_i.C33	13.eps13C_i.C31	0	0	2.20E-16	less_than_05
eps13C_n.C31	eps13C_i.C33	11.eps13C_n.C31	14.eps13C_i.C33	0	0	2.20E-16	less_than_05
eps13C_n.C33	eps13C_i.C33	12.eps13C_n.C33	14.eps13C_i.C33	0	0	2.20E-16	less_than_05
eps13C_i.C31	eps13C_i.C33	13.eps13C_i.C31	14.eps13C_i.C33	0	0	2.20E-16	less_than_05
eps13C_n.C33	eps13C_n.C31	12.eps13C_n.C33	11.eps13C_n.C31	0	0	2.20E-16	less_than_05
eps13C_i.C31	eps13C_n.C31	13.eps13C_i.C31	11.eps13C_n.C31	0	0	2.20E-16	less_than_05
eps13C_i.C33	eps13C_n.C31	14.eps13C_i.C33	11.eps13C_n.C31	0	0	2.20E-16	less_than_05
eps13C_i.C31	eps13C_n.C33	13.eps13C_i.C31	12.eps13C_n.C33	0	0	2.20E-16	less_than_05
eps13C_i.C33	eps13C_n.C33	14.eps13C_i.C33	12.eps13C_n.C33	0	0	2.20E-16	less_than_05
eps13C_n.C31	eps13C_n.C33	11.eps13C_n.C31	12.eps13C_n.C33	0	0	2.20E-16	less_than_05
n.alkane_ACL	iso_ACL	06.n.alkane_ACL	07.iso_ACL	0	0	2.20E-16	less_than_05
pct_iso.alkanes	Methyl_Index	02.pct_iso.alkanes	04.Methyl_Index	0	0	2.20E-16	less_than_05
pct_anteiso.alkanes	Methyl_Index	03.pct_anteiso.alkanes	04.Methyl_Index	0	0	2.20E-16	less_than_05
iso_ACL	n.alkane_ACL	07.iso_ACL	06.n.alkane_ACL	0	0	2.20E-16	less_than_05
n33.i33	n31.i31	16.n33.i33	15.n31.i31	0	0	2.20E-16	less_than_05
n31.i31	n33.i33	15.n31.i31	16.n33.i33	0	0	2.20E-16	less_than_05
Methyl_Index	pct_anteiso.alkanes	04.Methyl_Index	03.pct_anteiso.alkanes	0	0	2.20E-16	less_than_05
Methyl_Index	pct_iso.alkanes	04.Methyl_Index	02.pct_iso.alkanes	0	0	2.20E-16	less_than_05
n.alkane_CPI	Methyl_Index	01.n.alkane_CPI	04.Methyl_Index	9.33E-15	1.02E-13	1.02E-13	less_than_05
Methyl_Index	n.alkane_CPI	04.Methyl_Index	01.n.alkane_CPI	9.33E-15	1.02E-13	1.02E-13	less_than_05
n31.i31	eps13C_n.C31	15.n31.i31	11.eps13C_n.C31	2.89E-14	2.89E-13	2.89E-13	less_than_05
eps13C_n.C31	n31.i31	11.eps13C_n.C31	15.n31.i31	2.89E-14	2.89E-13	2.89E-13	less_than_05
