IL	il	Estimate	std_error	df	t_value	p_value	trait
IL01.1	1.1	0.030139284	0.010992167	119.0318945	2.741887237	0.007051999	eps13C_i.C31
IL01.1.2	1.1.2	0.017917391	0.010992167	119.0318945	1.630014373	0.105741929	eps13C_i.C31
IL01.1.3	1.1.3	0.022656821	0.015599622	119.252664	1.452395498	0.149017744	eps13C_i.C31
IL01.2	1.2	0.006408922	0.010992167	119.0318945	0.583044398	0.560966401	eps13C_i.C31
IL01.3	1.3	0.02521727	0.012306822	119.1220632	2.049048138	0.042653893	eps13C_i.C31
IL01.4	1.4	0.016572676	0.010992167	119.0318945	1.50768047	0.134285869	eps13C_i.C31
IL01.4.18	1.4.18	0.027423038	0.010992167	119.0318945	2.494779822	0.013974629	eps13C_i.C31
IL10.1	10.1	-0.006432235	0.010992167	119.0318945	-0.585165299	0.559544247	eps13C_i.C31
IL10.1.1	10.1.1	0.020228904	0.012307593	119.1303104	1.643611695	0.10289311	eps13C_i.C31
IL10.2	10.2	0.009122436	0.010992167	119.0318945	0.829903272	0.408254802	eps13C_i.C31
IL10.2.2	10.2.2	0.025045052	0.010992167	119.0318945	2.278445302	0.024483203	eps13C_i.C31
IL10.3	10.3	0.011372084	0.012307786	119.1323692	0.923974832	0.357367126	eps13C_i.C31
IL11.1	11.1	0.010806781	0.010992167	119.0318945	0.983134692	0.327535253	eps13C_i.C31
IL11.2	11.2	0.010864293	0.012307786	119.1323692	0.882717129	0.37916684	eps13C_i.C31
IL11.3	11.3	0.016350246	0.015602056	119.2724313	1.047954625	0.296778454	eps13C_i.C31
IL11.4	11.4	0.014547288	0.010992167	119.0318945	1.323423052	0.188231064	eps13C_i.C31
IL11.4.1	11.4.1	-0.002378558	0.010992167	119.0318945	-0.21638663	0.829056792	eps13C_i.C31
IL12.1	12.1	0.009571064	0.012307593	119.1303104	0.777655237	0.438313916	eps13C_i.C31
IL12.1.1	12.1.1	0.003371969	0.010992167	119.0318945	0.306761038	0.759561243	eps13C_i.C31
IL12.2	12.2	0.000934181	0.012307593	119.1303104	0.075902854	0.939623706	eps13C_i.C31
IL12.3	12.3	0.010131834	0.010992167	119.0318945	0.921732166	0.358532738	eps13C_i.C31
