il	anteiso_ACL	anteiso_CPI	D_iC31	D_nC31	D_iC33	D_nC33	n31.i31	n33.i33	iso_ACL	iso_CPI	mindex	nalk_ACL	nalk_CPI	pct_iso	pct_anteiso
ilIL_1.1	-0.133333333	-0.04	0.03083662	0.03777725	0.313585084	3.533333333	-0.6	0.303734214	-0.002109504	0.616405094	-0.005454256	3.72E-15	0.116107657	0.00235689	-0.049771701
IL1.1.2	-0.066666667	-0.05	0.0182661	0.01763212	0.18893768	1.7	0.033333333	0.046103089	-0.001758107	0.833759281	0.075081248	-0.000701937	-0.031219992	0.281752721	0.33675263
ilIL_1.1.3	-0.146367311	-0.080133901	0.022736621	0.025807417	0.237540231	2.561199655	-0.253763837	0.249303325	-0.002292765	0.294048773	0.110347229	-0.000699332	-0.150868005	0.513128036	0.462718299
ilIL_1.2	-0.133333333	0.01	0.006411971	0.009823764	0.096478839	1.2	-0.3	0.17112191	-0.002812301	0.222890066	-0.00534581	-0.000350908	0.178017206	-0.09029332	0.004711386
ilIL_1.3	0.023183655	-0.004933049	0.025706387	0.023767527	0.310329591	2.169400173	0.126881918	-0.169974084	-0.002545156	0.609462648	0.052772702	-0.000176878	0.19405623	0.502391237	-0.158390787
ilIL_1.4	-0.066666667	-0.046666667	0.017259977	0.01492751	0.264979662	1.466666667	0.233333333	-0.349880519	-0.001405965	0.362324498	0.066357797	4.87E-07	-0.099616475	0.295168524	0.310082381
ilIL_1.4.18	-0.033333333	-0.056666667	0.027778296	0.025470425	0.347045378	2.7	0.233333333	-0.093712116	-0.000703168	1.070505801	0.046927554	0.000351152	-0.011587066	0.323827165	0.076848387
ilIL_10.1	-0.066666667	-0.006666667	-0.006435221	-0.008157874	-0.044921316	-0.8	0.133333333	-0.207872257	-0.000703293	0.003327307	-0.004915894	0.000351029	0.059223578	-0.125771426	0.065281591
ilIL_10.1.1	-0.047262804	-0.047934383	0.020788383	0.020015791	0.275590463	1.870330645	0.097620022	-0.198984411	-0.000986866	0.344418295	0.005761138	-5.85E-05	0.083124494	-0.055751312	0.057287643
ilIL_10.2	-0.033333333	-0.09	0.009128921	0.007124576	0.171492791	0.7	0.166666667	-0.321406137	-0.001757983	0.782141334	0.047833501	0.000351029	0.2911143	0.072991156	0.298989789
ilIL_10.2.2	-0.033333333	-0.073333333	0.026077647	0.020371102	0.368411523	2.433333333	0.533333333	-0.323291323	-0.002109504	0.900146373	0.043814582	-0.000350908	0.19050542	0.132261066	0.235059552
ilIL_10.3	-0.1	0.026666667	0.011372329	0.0055706	0.202528739	1.210269182	0.52549806	-0.186003924	-0.000351771	0.131442543	0.060404798	0.000702059	-0.067527283	0.118140904	0.415544088
ilIL_11.1	-1.13E-12	-0.04	0.011151587	0.009133226	0.137749577	1.233333333	0.133333333	0.072769125	3.75E-07	0.350422685	-0.000200905	0.000702181	0.114447315	-0.196003829	0.093025721
ilIL_11.2	-0.075920851	0.007867433	0.010864262	0.01321409	0.136964525	1.110269182	-0.22450194	-0.004960375	-0.001214642	-0.122156806	0.055809676	0.000235361	-0.027740462	0.209868125	0.22814111
ilIL_11.3	-0.033333333	-0.053333333	0.016280046	0.014910979	0.179187824	1.85933871	0.104759957	0.176730549	-0.000351522	0.472196254	-0.040272797	0.000702181	0.036883553	-0.230817131	-0.197580657
ilIL_11.4	0.033333333	-0.013333333	0.014895325	0.016298615	0.194284323	1.666666667	-0.133333333	0.031644819	-0.001054939	0.260723761	-0.011092522	0.000702181	0.031341175	0.000196862	-0.185663745
ilIL_11.4.1	-0.066666667	-0.013333333	-0.00271725	-0.004091784	-0.026012697	-0.4	0.1	-0.040208175	-0.001757983	0.174971276	0.025289707	-0.000351029	0.028566386	0.015333348	0.201766423
ilIL_12.1	-0.047262804	-0.022934383	0.009617794	0.009841348	0.130051654	0.820330645	-0.002379978	-0.09896061	-0.0025689	0.255468624	0.028163827	-0.001111389	0.036659173	0.00657619	0.218767767
ilIL_12.1.1	-0.066666667	0.006666667	0.003373551	0.001678253	0.006093896	0.233333333	0.133333333	0.097211664	-0.001054939	0.350386837	-0.001220368	3.72E-15	0.05490596	-0.029727048	-0.007255551
ilIL_12.2	-0.047262804	-0.032934383	0.000973648	0.010831457	0.074143796	0.970330645	-0.902379978	0.151266579	-0.000986866	0.073349269	-0.014682948	-5.85E-05	0.028919845	-0.127953283	-0.07584946
ilIL_12.3	-1.13E-12	-0.093333333	0.009798958	0.014922569	0.147946612	1.4	-0.466666667	0.098722069	-0.001054939	0.291088004	0.022578268	0.000351029	0.123674793	-0.220289743	0.321088988
ilIL_12.3.1	-0.033333333	0.003333333	0.02306446	0.021096755	0.271670833	2.1	0.166666667	-0.090669007	-0.001406337	0.247856954	0.007802481	0.000351273	0.04904467	-0.079719936	0.064776611
ilIL_12.4	-0.033333333	-0.02	-0.004061532	-0.005441762	-0.062310989	-0.5	0.1	-0.004196472	-0.001757983	0.248484614	0.012714941	3.72E-15	0.096687427	-0.005590554	0.125203849
ilIL_12.4.1	-0.033333333	0.043333333	0.024380187	0.026837392	0.305495262	2.566666667	-0.233333333	0.027510205	-0.000351771	0.341341859	0.013629391	0.00105321	0.013404358	0.11352179	-0.004054598
ilIL_2.1	-0.033333333	0.01	0.039908184	0.040836947	0.513906684	4.260269182	-0.07450194	-0.065776401	-0.001406585	0.575376235	0.009429977	-0.000351029	0.044585295	0.161557793	-0.122327749
ilIL_2.1.1	-0.033333333	-0.136666667	0.013913512	0.014234604	0.190611251	1.510269182	-0.02450194	-0.008050281	-0.001054939	0.467487332	0.004176626	0.000351029	0.089381978	-0.036738742	0.081026234
IL2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ilIL_2.3	-0.033333333	-0.04	0.007761995	0.003364863	0.065184411	0.066666667	0.366666667	-0.176414604	-0.000703417	0.634657979	0.029826578	0.000702181	0.064074394	0.155430458	0.104528662
ilIL_2.4	-0.047262804	0.052065617	0.020292541	0.035866184	0.224763452	2.920330645	-1.452379978	0.347886138	-0.000986866	0.281277776	-0.007610465	0.000994788	0.009807083	0.057969272	-0.142025879
ilIL_2.5	0.033333333	-0.033333333	0.013289253	0.023972025	0.200700812	2.466666667	-1	0.170735327	0.001056068	0.396370684	0.029784616	0.002809708	0.039470623	0.026962667	0.124728546
ilIL_2.6	-0.033333333	-0.116666667	0.015564833	0.016967124	0.199396822	1.666666667	-0.133333333	0.030123446	-0.001055063	0.921871615	0.048311133	-0.000351029	0.00833716	0.200529623	0.229950522
ilIL_2.6.5	-0.047262804	-0.072934383	0.017817907	0.017601366	0.26959845	1.820330645	-0.002379978	-0.278676523	-0.002041617	0.327956009	0.05977929	-5.85E-05	-0.001527317	0.104263038	0.415072079
ilIL_3.1	-0.066666667	-0.046666667	0.016249512	0.016643665	0.211918797	1.533333333	-0.033333333	-0.149353872	-0.002109628	0.643966636	0.055145749	-0.000351029	0.06674766	0.217814681	0.267685225
ilIL_3.2	-0.033333333	-0.056666667	0.02641975	0.021056801	0.319808901	1.933333333	0.5	-0.329682275	-0.001406585	0.823465553	0.153988033	3.72E-15	-0.009250856	0.525426116	0.725658103
ilIL_3.3	-0.033333333	-0.086666667	0.007083283	0.008111295	0.12584885	0.733333333	-0.1	-0.1089166	-0.000703417	0.365087433	0.040104091	3.76E-15	-0.022685967	0.010450927	0.32465627
